subject_name subjectNumber iTrial unshuffled_trial targetOrientation flankersOrientation response correct onscreen_stim_duration magicShows rt date time_of_day deltaX deltaY surpriseClip isClipTrial
05MR06M32 2 1 15 -45 45 right 0 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/2_noeffect.mov 1995 20-Apr-2017 18:38:30 3.754346e+02 3.298273e+02 0 1
05MR06M32 2 2 10 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/2_effect.mov 1846 20-Apr-2017 18:38:34 3.059957e+02 3.238927e+02 1 0
05MR06M32 2 3 67 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/9_effect.mov 2047 20-Apr-2017 18:38:38 -5.972951e+01 -7.892680e+01 1 0
05MR06M32 2 4 12 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/2_effect.mov 1247 20-Apr-2017 18:39:04 -4.858376e+01 -2.488227e+01 1 1
05MR06M32 2 5 73 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/10_effect.mov 1289 20-Apr-2017 18:39:08 3.480250e+02 -9.060497e+01 1 0
05MR06M32 2 6 5 45 45 left 0 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/1_noeffect.mov 1363 20-Apr-2017 18:39:12 -4.725584e+02 -4.451062e+01 1 0
05MR06M32 2 7 53 45 45 left 0 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/7_noeffect.mov 821 20-Apr-2017 18:39:15 3.497431e+02 2.205729e+00 0 0
05MR06M32 2 8 74 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/10_effect.mov 1391 20-Apr-2017 18:39:30 -1.940670e+02 -5.481615e+01 1 1
05MR06M32 2 9 46 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/6_noeffect.mov 578 20-Apr-2017 18:39:33 1.851432e+02 4.018078e+02 0 0
05MR06M32 2 10 2 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/1_effect.mov 894 20-Apr-2017 18:39:37 2.284800e+02 -2.291136e+02 1 0
05MR06M32 2 11 60 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/8_effect.mov 810 20-Apr-2017 18:39:40 -5.495855e+01 1.644220e+02 1 0
05MR06M32 2 12 16 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/2_noeffect.mov 976 20-Apr-2017 18:40:05 -2.180474e+02 4.759843e+02 0 1
05MR06M32 2 13 26 45 -45 left 0 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/4_effect.mov 841 20-Apr-2017 18:40:08 2.708284e+02 -3.499880e+02 1 0
05MR06M32 2 14 62 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/8_noeffect.mov 656 20-Apr-2017 18:40:11 -3.956607e+02 3.080562e+02 0 0
05MR06M32 2 15 78 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/10_noeffect.mov 723 20-Apr-2017 18:40:14 -4.413142e+02 2.649817e+02 0 0
05MR06M32 2 16 41 45 45 left 0 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/6_effect.mov 1294 20-Apr-2017 18:40:30 1.206287e+02 -3.134814e+02 1 1
05MR06M32 2 17 37 45 45 left 0 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/5_noeffect.mov 730 20-Apr-2017 18:40:33 -2.547754e+02 -1.623006e+02 0 0
05MR06M32 2 18 32 -45 -45 right 0 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/4_noeffect.mov 713 20-Apr-2017 18:40:36 4.723596e+02 -2.161331e+02 0 0
05MR06M32 2 19 36 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/5_effect.mov 579 20-Apr-2017 18:40:39 -1.160782e+01 -3.533463e+02 1 0
05MR06M32 2 20 61 45 45 left 0 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/8_noeffect.mov 759 20-Apr-2017 18:41:00 1.245334e+02 4.562492e+02 0 1
05MR06M32 2 21 25 45 45 left 0 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/4_effect.mov 526 20-Apr-2017 18:41:03 -1.661514e+02 -2.338038e+02 1 0
05MR06M32 2 22 38 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/5_noeffect.mov 558 20-Apr-2017 18:41:06 -2.863579e+02 -7.501450e+01 0 0
05MR06M32 2 23 9 45 45 left 0 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/2_effect.mov 576 20-Apr-2017 18:41:09 -1.973534e+02 3.831265e+02 1 0
05MR06M32 2 24 20 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/3_effect.mov 660 20-Apr-2017 18:41:27 4.580140e+02 5.667141e+01 1 1
05MR06M32 2 25 33 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/5_effect.mov 443 20-Apr-2017 18:41:30 2.532133e+01 2.729211e+02 1 0
05MR06M32 2 26 42 45 -45 left 0 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/6_effect.mov 640 20-Apr-2017 18:41:33 2.961604e+02 2.200369e+02 1 0
05MR06M32 2 27 30 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/4_noeffect.mov 723 20-Apr-2017 18:41:36 -4.362554e+02 -1.833446e+02 0 0
05MR06M32 2 28 31 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/4_noeffect.mov 743 20-Apr-2017 18:41:53 3.017371e+02 -1.802386e+01 0 1
05MR06M32 2 29 43 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/6_effect.mov 597 20-Apr-2017 18:41:56 -2.468142e+02 3.111150e+02 1 0
05MR06M32 2 30 48 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/6_noeffect.mov 408 20-Apr-2017 18:41:59 -1.829054e+01 1.223542e+02 0 0
05MR06M32 2 31 4 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/1_effect.mov 374 20-Apr-2017 18:42:01 -2.063727e+02 2.121769e+02 1 0
05MR06M32 2 32 50 45 -45 left 0 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/7_effect.mov 975 20-Apr-2017 18:42:21 1.712746e+02 -7.053462e+01 1 1
05MR06M32 2 33 79 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/10_noeffect.mov 560 20-Apr-2017 18:42:24 3.365744e+02 1.735051e+02 0 0
05MR06M32 2 34 22 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/3_noeffect.mov 643 20-Apr-2017 18:42:27 2.157512e+02 2.184185e+02 0 0
05MR06M32 2 35 68 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/9_effect.mov 453 20-Apr-2017 18:42:30 3.639546e+02 3.390359e+02 1 0
05MR06M32 2 36 45 45 45 left 0 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/6_noeffect.mov 560 20-Apr-2017 18:42:45 -4.444526e+02 -2.068903e+02 0 1
05MR06M32 2 37 64 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/8_noeffect.mov 573 20-Apr-2017 18:42:48 6.711763e+01 -2.801365e+02 0 0
