subject_name subjectNumber iTrial unshuffled_trial targetOrientation flankersOrientation response correct onscreen_stim_duration magicShows rt date time_of_day deltaX deltaY surpriseClip isClipTrial
08MS24_F20 1 1 72 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/9_noeffect.mov 1145 27-Apr-2017 14:12:12 -1.512357e+01 7.314446e+00 0 1
08MS24_F20 1 2 18 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/3_effect.mov 729 27-Apr-2017 14:12:15 -4.969646e+02 -8.544222e+01 1 0
08MS24_F20 1 3 59 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/8_effect.mov 678 27-Apr-2017 14:12:18 1.930645e+02 3.180749e+02 1 0
08MS24_F20 1 4 25 45 45 left 0 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/4_effect.mov 1146 27-Apr-2017 14:12:35 8.203468e+00 -4.824666e+02 1 1
08MS24_F20 1 5 42 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/6_effect.mov 645 27-Apr-2017 14:12:38 1.804265e+02 9.847309e+00 1 0
08MS24_F20 1 6 36 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/5_effect.mov 962 27-Apr-2017 14:12:42 1.548103e+02 4.948674e+02 1 0
08MS24_F20 1 7 9 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/2_effect.mov 728 27-Apr-2017 14:12:45 -2.808419e+02 3.831729e+02 1 0
08MS24_F20 1 8 48 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/6_noeffect.mov 960 27-Apr-2017 14:13:00 4.055347e+02 2.466942e+02 0 1
08MS24_F20 1 9 56 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/7_noeffect.mov 929 27-Apr-2017 14:13:03 -1.287148e+02 4.410660e+02 0 0
08MS24_F20 1 10 22 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/3_noeffect.mov 712 27-Apr-2017 14:13:06 3.094948e+02 4.876804e+02 0 0
08MS24_F20 1 11 71 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/9_noeffect.mov 693 27-Apr-2017 14:13:09 1.678266e+02 1.637773e+02 0 0
08MS24_F20 1 12 65 45 45 left 0 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/9_effect.mov 1276 27-Apr-2017 14:13:32 -4.351554e+02 -1.246218e+02 1 1
08MS24_F20 1 13 24 -45 -45 right 0 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/3_noeffect.mov 1588 27-Apr-2017 14:13:35 -1.840996e+02 -4.741827e+02 0 0
08MS24_F20 1 14 66 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/9_effect.mov 1295 27-Apr-2017 14:13:39 1.334235e+02 -1.222188e+02 1 0
08MS24_F20 1 15 75 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/10_effect.mov 1713 27-Apr-2017 14:13:43 -1.176202e+02 3.415437e+02 1 0
08MS24_F20 1 16 2 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/1_effect.mov 1010 27-Apr-2017 14:14:08 -2.095932e+02 -4.827553e+02 1 1
08MS24_F20 1 17 28 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/4_effect.mov 762 27-Apr-2017 14:14:12 -3.127836e+02 -3.857832e+02 1 0
08MS24_F20 1 18 20 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/3_effect.mov 987 27-Apr-2017 14:14:15 -4.071976e+02 2.613209e+02 1 0
08MS24_F20 1 19 67 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/9_effect.mov 794 27-Apr-2017 14:14:18 4.888502e+02 -3.811616e+02 1 0
08MS24_F20 1 20 63 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/8_noeffect.mov 893 27-Apr-2017 14:14:39 -4.618690e+02 -4.011773e+02 0 1
08MS24_F20 1 21 1 45 45 left 0 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/1_effect.mov 712 27-Apr-2017 14:14:42 -3.543736e+01 1.778173e+02 1 0
08MS24_F20 1 22 52 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/7_effect.mov 989 27-Apr-2017 14:14:46 3.083140e+02 3.245319e+01 1 0
08MS24_F20 1 23 14 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/2_noeffect.mov 912 27-Apr-2017 14:14:49 4.615445e+02 1.589321e+02 0 0
08MS24_F20 1 24 3 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/1_effect.mov 942 27-Apr-2017 14:15:14 -2.108564e+02 6.546796e+01 1 1
08MS24_F20 1 25 51 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/7_effect.mov 745 27-Apr-2017 14:15:17 2.763309e+02 -4.700107e+02 1 0
08MS24_F20 1 26 4 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/1_effect.mov 762 27-Apr-2017 14:15:20 8.714769e+01 6.706024e+01 1 0
08MS24_F20 1 27 49 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/7_effect.mov 877 27-Apr-2017 14:15:23 -2.309030e+01 -3.329426e+02 1 0
08MS24_F20 1 28 37 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/5_noeffect.mov 1127 27-Apr-2017 14:15:40 -3.073621e+01 -8.895575e+00 0 1
08MS24_F20 1 29 26 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/4_effect.mov 778 27-Apr-2017 14:15:44 2.730442e+02 -1.761129e+02 1 0
08MS24_F20 1 30 5 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/1_noeffect.mov 812 27-Apr-2017 14:15:47 -1.953400e+02 2.968041e+02 1 0
08MS24_F20 1 31 73 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/10_effect.mov 661 27-Apr-2017 14:15:50 4.274809e+02 1.952059e+02 1 0
08MS24_F20 1 32 54 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/7_noeffect.mov 943 27-Apr-2017 14:16:09 3.546123e+02 -2.750711e+02 0 1
08MS24_F20 1 33 40 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/5_noeffect.mov 946 27-Apr-2017 14:16:12 -1.961552e+02 -4.126826e+02 0 0
08MS24_F20 1 34 55 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/7_noeffect.mov 827 27-Apr-2017 14:16:15 -2.977994e+02 3.586430e+02 0 0
08MS24_F20 1 35 68 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/9_effect.mov 911 27-Apr-2017 14:16:19 2.720916e+02 2.421817e+02 1 0
08MS24_F20 1 36 77 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/10_noeffect.mov 1077 27-Apr-2017 14:16:33 4.716694e+02 -3.503902e+01 0 1
08MS24_F20 1 37 12 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/2_effect.mov 778 27-Apr-2017 14:16:36 -4.558465e+01 4.796957e+02 1 0
08MS24_F20 1 38 43 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/6_effect.mov 695 27-Apr-2017 14:16:39 2.379508e+02 -2.623033e+02 1 0
08MS24_F20 1 39 70 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/9_noeffect.mov 711 27-Apr-2017 14:16:42 -7.787533e+01 -1.928089e+02 0 0
08MS24_F20 1 40 6 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/1_noeffect.mov 828 27-Apr-2017 14:17:07 -1.529711e+02 -2.268580e+02 1 1
08MS24_F20 1 41 39 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/5_noeffect.mov 628 27-Apr-2017 14:17:10 1.361067e+02 -2.063149e+00 0 0
