subject_name subjectNumber iTrial unshuffled_trial targetOrientation flankersOrientation response correct onscreen_stim_duration magicShows rt date time_of_day deltaX deltaY surpriseClip isClipTrial
15DS04_F24 1 1 57 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/8_effect.mov 863 21-Apr-2017 10:31:36 1.810756e+02 -2.428540e+02 1 1
15DS04_F24 1 2 30 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/4_noeffect.mov 729 21-Apr-2017 10:31:39 -1.135354e+02 -2.909142e+02 0 0
15DS04_F24 1 3 45 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/6_noeffect.mov 695 21-Apr-2017 10:31:42 -2.352120e+02 2.682121e+02 0 0
15DS04_F24 1 4 46 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/6_noeffect.mov 859 21-Apr-2017 10:31:57 -1.784713e+02 3.233448e+02 0 1
15DS04_F24 1 5 38 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/5_noeffect.mov 561 21-Apr-2017 10:32:00 -7.110345e+01 3.626149e+02 0 0
15DS04_F24 1 6 79 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/10_noeffect.mov 761 21-Apr-2017 10:32:03 -3.491328e+02 1.225205e+02 0 0
15DS04_F24 1 7 25 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/4_effect.mov 610 21-Apr-2017 10:32:06 4.052235e+02 -4.846000e+02 1 0
15DS04_F24 1 8 28 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/4_effect.mov 1093 21-Apr-2017 10:32:24 1.634300e+02 3.965109e+01 1 1
15DS04_F24 1 9 47 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/6_noeffect.mov 792 21-Apr-2017 10:32:27 -3.886874e+02 3.181637e+02 0 0
15DS04_F24 1 10 12 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/2_effect.mov 658 21-Apr-2017 10:32:30 -2.720005e+02 -1.171356e+02 1 0
15DS04_F24 1 11 59 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/8_effect.mov 606 21-Apr-2017 10:32:33 4.298952e+01 -8.606937e+01 1 0
15DS04_F24 1 12 29 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/4_noeffect.mov 726 21-Apr-2017 10:32:50 4.207718e+02 3.414988e+02 0 1
15DS04_F24 1 13 77 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/10_noeffect.mov 624 21-Apr-2017 10:32:53 4.050830e+02 4.171944e+02 0 0
15DS04_F24 1 14 60 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/8_effect.mov 678 21-Apr-2017 10:32:56 3.457572e+02 3.201019e+02 1 0
15DS04_F24 1 15 72 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/9_noeffect.mov 622 21-Apr-2017 10:32:59 3.498958e+02 4.490984e+02 0 0
