subject_name subjectNumber iTrial unshuffled_trial targetOrientation flankersOrientation response correct onscreen_stim_duration magicShows rt date time_of_day deltaX deltaY surpriseClip isClipTrial
16AP04_F19 4 1 34 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/5_effect.mov 562 04-May-2017 14:33:20 2.204499e+02 -4.448742e+02 1 1
16AP04_F19 4 2 50 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/7_effect.mov 511 04-May-2017 14:33:23 -1.084153e+02 -2.159552e+02 1 0
16AP04_F19 4 3 15 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/2_noeffect.mov 523 04-May-2017 14:33:26 -3.928534e+02 1.668022e+02 0 0
16AP04_F19 4 4 60 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/8_effect.mov 486 04-May-2017 14:33:46 -1.026511e+02 -2.491703e+02 1 1
16AP04_F19 4 5 39 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/5_noeffect.mov 575 04-May-2017 14:33:49 3.245630e+02 1.637767e+02 0 0
16AP04_F19 4 6 40 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/5_noeffect.mov 451 04-May-2017 14:33:52 -2.888354e+02 -3.649298e+02 0 0
16AP04_F19 4 7 56 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/7_noeffect.mov 379 04-May-2017 14:33:55 1.427336e+02 -2.598721e+01 0 0
16AP04_F19 4 8 80 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/10_noeffect.mov 484 04-May-2017 14:34:09 -3.658566e+02 4.376351e+02 0 1
16AP04_F19 4 9 20 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/3_effect.mov 450 04-May-2017 14:34:11 -3.669059e+02 -4.512766e+02 1 0
16AP04_F19 4 10 10 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/2_effect.mov 629 04-May-2017 14:34:14 1.903222e+02 3.220892e+02 1 0
16AP04_F19 4 11 64 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/8_noeffect.mov 545 04-May-2017 14:34:17 3.007966e+02 -2.110845e+02 0 0
16AP04_F19 4 12 59 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/8_effect.mov 578 04-May-2017 14:34:38 2.075424e+02 -4.450194e+01 1 1
16AP04_F19 4 13 68 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/9_effect.mov 390 04-May-2017 14:34:41 1.941007e+02 9.825775e+00 1 0
16AP04_F19 4 14 45 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/6_noeffect.mov 445 04-May-2017 14:34:44 -2.526049e+02 -4.656907e+02 0 0
16AP04_F19 4 15 21 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/3_noeffect.mov 511 04-May-2017 14:34:46 -3.385745e+02 1.041593e+02 0 0
16AP04_F19 4 16 51 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/7_effect.mov 644 04-May-2017 14:35:05 -3.291518e+02 1.604185e+02 1 1
16AP04_F19 4 17 76 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/10_effect.mov 438 04-May-2017 14:35:08 -1.881009e+02 1.417699e+02 1 0
16AP04_F19 4 18 63 -45 45 right 0 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/8_noeffect.mov 447 04-May-2017 14:35:11 3.293898e+02 4.476635e+02 0 0
16AP04_F19 4 19 53 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/7_noeffect.mov 465 04-May-2017 14:35:14 -3.499135e+02 7.374606e+01 0 0
16AP04_F19 4 20 57 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/8_effect.mov 610 04-May-2017 14:35:35 8.360709e+01 -4.814961e+01 1 1
16AP04_F19 4 21 71 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/9_noeffect.mov 595 04-May-2017 14:35:38 2.640554e+02 -3.368747e+01 0 0
16AP04_F19 4 22 79 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/10_noeffect.mov 483 04-May-2017 14:35:40 -6.405606e+00 4.451875e+01 0 0
16AP04_F19 4 23 46 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/6_noeffect.mov 594 04-May-2017 14:35:43 -1.426527e+02 -1.543497e+02 0 0
16AP04_F19 4 24 11 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/2_effect.mov 644 04-May-2017 14:36:09 3.343861e+02 3.042978e+02 1 1
16AP04_F19 4 25 23 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/3_noeffect.mov 611 04-May-2017 14:36:12 3.697641e+02 2.797732e+02 0 0
16AP04_F19 4 26 75 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/10_effect.mov 578 04-May-2017 14:36:15 2.618028e+01 -2.410771e+01 1 0
