subject_name subjectNumber iTrial unshuffled_trial targetOrientation flankersOrientation response correct onscreen_stim_duration magicShows rt date time_of_day deltaX deltaY surpriseClip isClipTrial
27MT31_F22 1 1 54 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/7_noeffect.mov 777 28-Apr-2017 17:08:19 1.508574e+01 -2.181624e+02 0 1
27MT31_F22 1 2 56 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/7_noeffect.mov 489 28-Apr-2017 17:08:22 4.205048e+02 -3.699883e+02 0 0
27MT31_F22 1 3 52 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/7_effect.mov 527 28-Apr-2017 17:08:25 1.025462e+01 -1.910675e+02 1 0
27MT31_F22 1 4 31 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/4_noeffect.mov 529 28-Apr-2017 17:08:42 3.887820e+01 2.461194e+01 0 1
27MT31_F22 1 5 49 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/7_effect.mov 379 28-Apr-2017 17:08:45 2.025059e+02 2.360822e+02 1 0
27MT31_F22 1 6 78 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/10_noeffect.mov 528 28-Apr-2017 17:08:48 -4.177578e+02 9.548152e+01 0 0
27MT31_F22 1 7 70 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/9_noeffect.mov 728 28-Apr-2017 17:08:51 -4.591813e+02 1.879507e+02 0 0
27MT31_F22 1 8 41 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/6_effect.mov 796 28-Apr-2017 17:09:06 5.538768e+01 -1.750934e+02 1 1
27MT31_F22 1 9 1 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/1_effect.mov 348 28-Apr-2017 17:09:09 -2.004249e+02 3.318279e+02 1 0
27MT31_F22 1 10 59 -45 45 right 0 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/8_effect.mov 380 28-Apr-2017 17:09:11 3.545764e+02 -3.487639e+01 1 0
27MT31_F22 1 11 13 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/2_noeffect.mov 423 28-Apr-2017 17:09:14 -2.520640e+02 -1.079850e+02 0 0
27MT31_F22 1 12 16 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/2_noeffect.mov 677 28-Apr-2017 17:09:39 4.244945e+02 -4.825516e+02 0 1
