subject_name subjectNumber iTrial unshuffled_trial targetOrientation flankersOrientation response correct onscreen_stim_duration magicShows rt date time_of_day deltaX deltaY surpriseClip isClipTrial
43CP19_F19 3 1 40 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/5_noeffect.mov 711 26-Apr-2017 11:33:26 -1.546025e+02 -5.619600e+01 0 1
43CP19_F19 3 2 41 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/6_effect.mov 512 26-Apr-2017 11:33:29 -2.149361e+01 -1.133998e+02 1 0
43CP19_F19 3 3 52 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/7_effect.mov 527 26-Apr-2017 11:33:31 3.617193e+02 -1.302416e+02 1 0
43CP19_F19 3 4 60 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/8_effect.mov 760 26-Apr-2017 11:33:53 1.035220e+02 -1.064294e+02 1 1
43CP19_F19 3 5 58 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/8_effect.mov 977 26-Apr-2017 11:33:56 -9.316149e+01 -1.848625e+02 1 0
43CP19_F19 3 6 16 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/2_noeffect.mov 526 26-Apr-2017 11:33:59 2.105053e+01 -4.443015e+02 0 0
43CP19_F19 3 7 19 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/3_effect.mov 642 26-Apr-2017 11:34:02 1.428040e+02 2.872857e+02 1 0
43CP19_F19 3 8 63 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/8_noeffect.mov 593 26-Apr-2017 11:34:23 -1.259598e+02 -4.745094e+02 0 1
43CP19_F19 3 9 43 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/6_effect.mov 690 26-Apr-2017 11:34:26 3.607912e+02 -4.803642e+02 1 0
43CP19_F19 3 10 74 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/10_effect.mov 672 26-Apr-2017 11:34:29 -2.262499e+02 9.115702e+01 1 0
