subject_name subjectNumber iTrial unshuffled_trial targetOrientation flankersOrientation response correct onscreen_stim_duration magicShows rt date time_of_day deltaX deltaY surpriseClip isClipTrial
66MN1_M20 3 1 4 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/1_effect.mov 591 04-May-2017 17:57:12 -2.024119e+02 7.471788e+00 1 1
66MN1_M20 3 2 66 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/9_effect.mov 593 04-May-2017 17:57:15 -4.050180e+02 -3.957247e+02 1 0
66MN1_M20 3 3 30 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/4_noeffect.mov 560 04-May-2017 17:57:18 5.047911e+01 -2.535306e+02 0 0
66MN1_M20 3 4 62 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/8_noeffect.mov 611 04-May-2017 17:57:39 -1.979392e+02 -3.696817e+02 0 1
66MN1_M20 3 5 67 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/9_effect.mov 678 04-May-2017 17:57:42 6.783036e+00 4.666371e+02 1 0
66MN1_M20 3 6 22 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/3_noeffect.mov 544 04-May-2017 17:57:45 -1.665952e+02 -1.162942e+02 0 0
66MN1_M20 3 7 53 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/7_noeffect.mov 529 04-May-2017 17:57:48 -1.772471e+02 4.417346e+02 0 0
66MN1_M20 3 8 47 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/6_noeffect.mov 594 04-May-2017 17:58:03 3.092116e+01 -1.324096e+02 0 1
66MN1_M20 3 9 80 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/10_noeffect.mov 627 04-May-2017 17:58:06 1.214473e+02 -4.167087e+01 0 0
66MN1_M20 3 10 8 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/1_noeffect.mov 779 04-May-2017 17:58:09 4.919435e+02 2.407665e+02 1 0
66MN1_M20 3 11 39 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/5_noeffect.mov 561 04-May-2017 17:58:12 3.528933e+02 -3.614654e+02 0 0
66MN1_M20 3 12 61 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/8_noeffect.mov 727 04-May-2017 17:58:33 -4.599022e+02 4.741432e+02 0 1
66MN1_M20 3 13 12 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/2_effect.mov 594 04-May-2017 17:58:36 2.311301e+02 2.693183e+02 1 0
