subject_name subjectNumber iTrial unshuffled_trial targetOrientation flankersOrientation response correct onscreen_stim_duration magicShows rt date time_of_day deltaX deltaY surpriseClip isClipTrial
72LV31_F20 2 1 71 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/9_noeffect.mov 775 28-Apr-2017 10:34:48 2.312440e+02 -3.039462e+02 0 1
72LV31_F20 2 2 16 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/2_noeffect.mov 577 28-Apr-2017 10:34:51 1.637973e+02 4.734606e+02 0 0
72LV31_F20 2 3 7 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/1_noeffect.mov 528 28-Apr-2017 10:34:54 -3.384641e+02 4.996027e+02 1 0
72LV31_F20 2 4 36 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/5_effect.mov 629 28-Apr-2017 10:35:11 -2.292313e+02 -1.816512e+02 1 1
72LV31_F20 2 5 41 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/6_effect.mov 609 28-Apr-2017 10:35:14 -5.252601e+01 -1.733879e+01 1 0
72LV31_F20 2 6 64 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/8_noeffect.mov 420 28-Apr-2017 10:35:16 -2.999989e+02 -2.485307e+02 0 0
72LV31_F20 2 7 53 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/7_noeffect.mov 594 28-Apr-2017 10:35:19 -5.842270e+01 -1.430388e+02 0 0
72LV31_F20 2 8 66 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/9_effect.mov 711 28-Apr-2017 10:35:41 -3.960960e+01 -1.076581e+02 1 1
72LV31_F20 2 9 19 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/3_effect.mov 761 28-Apr-2017 10:35:44 4.270659e+02 3.469379e+02 1 0
72LV31_F20 2 10 49 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/7_effect.mov 544 28-Apr-2017 10:35:47 2.226209e+02 -3.493510e+02 1 0
72LV31_F20 2 11 28 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/4_effect.mov 561 28-Apr-2017 10:35:50 4.763360e+01 3.724250e+02 1 0
72LV31_F20 2 12 32 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/4_noeffect.mov 643 28-Apr-2017 10:36:07 -3.175773e+02 1.756104e+02 0 1
