subject_name subjectNumber iTrial unshuffled_trial targetOrientation flankersOrientation response correct onscreen_stim_duration magicShows rt date time_of_day deltaX deltaY surpriseClip isClipTrial
89MP19_F20 4 1 44 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/6_effect.mov 639 04-May-2017 12:36:43 4.470458e+02 1.322932e+02 1 1
89MP19_F20 4 2 23 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/3_noeffect.mov 475 04-May-2017 12:36:46 2.771603e+02 -1.073676e+02 0 0
89MP19_F20 4 3 24 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/3_noeffect.mov 413 04-May-2017 12:36:49 3.530053e+02 3.412211e+02 0 0
89MP19_F20 4 4 46 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/6_noeffect.mov 546 04-May-2017 12:37:04 -4.311110e+02 2.006316e+02 0 1
89MP19_F20 4 5 21 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/3_noeffect.mov 511 04-May-2017 12:37:07 -2.679692e+02 -1.683081e+02 0 0
89MP19_F20 4 6 16 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/2_noeffect.mov 400 04-May-2017 12:37:10 -6.125501e+01 2.220934e+01 0 0
89MP19_F20 4 7 19 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/3_effect.mov 455 04-May-2017 12:37:12 1.061014e+01 -4.039068e+02 1 0
89MP19_F20 4 8 15 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/2_noeffect.mov 511 04-May-2017 12:37:37 -3.820661e+02 4.077553e+02 0 1
89MP19_F20 4 9 75 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/10_effect.mov 491 04-May-2017 12:37:40 -1.244078e+02 8.346619e+01 1 0
89MP19_F20 4 10 34 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/5_effect.mov 545 04-May-2017 12:37:43 9.227885e+01 -1.003285e+02 1 0
89MP19_F20 4 11 36 -45 45 right 0 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/5_effect.mov 426 04-May-2017 12:37:46 -1.781038e+02 -2.148966e+02 1 0
89MP19_F20 4 12 56 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/7_noeffect.mov 493 04-May-2017 12:38:05 -4.115786e+01 -3.960237e+02 0 1
89MP19_F20 4 13 12 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/2_effect.mov 479 04-May-2017 12:38:07 2.024724e+02 4.133480e+02 1 0
89MP19_F20 4 14 65 45 45 left 0 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/9_effect.mov 578 04-May-2017 12:38:10 -3.026403e+02 -4.285716e+02 1 0
89MP19_F20 4 15 14 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/2_noeffect.mov 589 04-May-2017 12:38:13 -1.570860e+02 -4.778607e+02 0 0
89MP19_F20 4 16 18 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/3_effect.mov 644 04-May-2017 12:38:32 -3.350280e+02 5.162150e+01 1 1
89MP19_F20 4 17 79 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/10_noeffect.mov 546 04-May-2017 12:38:35 1.054154e+01 -1.312636e+02 0 0
89MP19_F20 4 18 9 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/2_effect.mov 629 04-May-2017 12:38:38 -2.079473e+02 4.338194e+02 1 0
89MP19_F20 4 19 76 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/10_effect.mov 372 04-May-2017 12:38:40 -4.512890e+02 -4.215136e+01 1 0
89MP19_F20 4 20 25 45 45 left 0 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/4_effect.mov 492 04-May-2017 12:38:57 -1.553188e+02 -1.094702e+02 1 1
89MP19_F20 4 21 49 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/7_effect.mov 499 04-May-2017 12:39:00 -8.615945e+01 2.987968e+02 1 0
89MP19_F20 4 22 70 45 -45 left 0 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/9_noeffect.mov 374 04-May-2017 12:39:03 -3.506780e+02 -1.525815e+02 0 0
89MP19_F20 4 23 7 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/1_noeffect.mov 679 04-May-2017 12:39:06 3.329538e+02 8.966517e+01 1 0
89MP19_F20 4 24 20 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/3_effect.mov 545 04-May-2017 12:39:24 -4.190552e+02 -2.081764e+02 1 1
