subject_name subjectNumber iTrial unshuffled_trial targetOrientation flankersOrientation response correct onscreen_stim_duration magicShows rt date time_of_day deltaX deltaY surpriseClip isClipTrial
98CS21F19 2 1 13 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/2_noeffect.mov 940 27-Apr-2017 13:03:20 -5.616730e+01 -2.085821e+02 0 1
98CS21F19 2 2 61 45 45 left 0 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/8_noeffect.mov 736 27-Apr-2017 13:03:23 -4.336927e+02 3.572574e+02 0 0
98CS21F19 2 3 36 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/5_effect.mov 1120 27-Apr-2017 13:03:26 -3.959598e+02 3.423705e+02 1 0
98CS21F19 2 4 32 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/4_noeffect.mov 886 27-Apr-2017 13:03:44 2.819203e+02 -2.924211e+02 0 1
98CS21F19 2 5 58 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/8_effect.mov 737 27-Apr-2017 13:03:47 -1.958407e+02 4.888492e+01 1 0
98CS21F19 2 6 74 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/10_effect.mov 752 27-Apr-2017 13:03:50 2.710674e+02 4.832999e+02 1 0
98CS21F19 2 7 70 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/9_noeffect.mov 753 27-Apr-2017 13:03:53 -2.834545e+02 -4.580301e+02 0 0
98CS21F19 2 8 59 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/8_effect.mov 853 27-Apr-2017 13:04:14 2.824200e+02 -4.676811e+02 1 1
98CS21F19 2 9 22 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/3_noeffect.mov 719 27-Apr-2017 13:04:17 4.991861e+02 -3.156325e+02 0 0
98CS21F19 2 10 5 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/1_noeffect.mov 870 27-Apr-2017 13:04:20 2.613726e+02 -4.882888e+02 1 0
98CS21F19 2 11 26 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/4_effect.mov 619 27-Apr-2017 13:04:23 -9.901895e+01 -2.103894e+02 1 0
