subject_name subjectNumber iTrial unshuffled_trial targetOrientation flankersOrientation response correct onscreen_stim_duration magicShows rt date time_of_day deltaX deltaY surpriseClip isClipTrial
08MS24_F20 4 1 44 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/6_effect.mov 994 27-Apr-2017 14:44:32 6.998095e+01 -3.508965e+02 1 1
08MS24_F20 4 2 30 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/4_noeffect.mov 558 27-Apr-2017 14:44:35 3.974544e+02 -1.349515e+02 0 0
08MS24_F20 4 3 20 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/3_effect.mov 1109 27-Apr-2017 14:44:39 1.987305e+01 2.297052e+02 1 0
08MS24_F20 4 4 76 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/10_effect.mov 946 27-Apr-2017 14:44:53 4.276209e+02 3.074329e+02 1 1
08MS24_F20 4 5 49 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/7_effect.mov 743 27-Apr-2017 14:44:56 2.215244e+02 -4.186232e+02 1 0
08MS24_F20 4 6 55 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/7_noeffect.mov 529 27-Apr-2017 14:44:59 -6.433517e+01 -9.567086e+01 0 0
08MS24_F20 4 7 38 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/5_noeffect.mov 596 27-Apr-2017 14:45:02 2.558961e+02 4.191194e+02 0 0
08MS24_F20 4 8 65 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/9_effect.mov 645 27-Apr-2017 14:45:24 -2.008727e+02 3.389386e+02 1 1
08MS24_F20 4 9 61 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/8_noeffect.mov 577 27-Apr-2017 14:45:27 -7.161051e+00 -2.180887e+02 0 0
08MS24_F20 4 10 18 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/3_effect.mov 643 27-Apr-2017 14:45:30 -4.925445e+02 2.031270e+02 1 0
08MS24_F20 4 11 60 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/8_effect.mov 778 27-Apr-2017 14:45:33 -4.496459e+02 -2.313687e+02 1 0
08MS24_F20 4 12 2 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/1_effect.mov 794 27-Apr-2017 14:45:58 -1.375700e+02 -2.210310e+02 1 1
