subject_name subjectNumber iTrial unshuffled_trial targetOrientation flankersOrientation response correct onscreen_stim_duration magicShows rt date time_of_day deltaX deltaY surpriseClip isClipTrial
42ES12_F19 1 1 41 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/6_effect.mov 1327 04-May-2017 16:35:39 -2.604303e+02 -7.286202e+01 1 1
42ES12_F19 1 2 69 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/9_noeffect.mov 1112 04-May-2017 16:35:42 -2.818796e+02 -2.383020e+02 0 0
42ES12_F19 1 3 71 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/9_noeffect.mov 797 04-May-2017 16:35:45 6.782717e+01 -3.907880e+02 0 0
42ES12_F19 1 4 2 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/1_effect.mov 1412 04-May-2017 16:36:11 -4.432205e+02 7.865266e+01 1 1
42ES12_F19 1 5 43 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/6_effect.mov 913 04-May-2017 16:36:14 -4.995890e+02 -4.289293e+02 1 0
42ES12_F19 1 6 1 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/1_effect.mov 1045 04-May-2017 16:36:18 -4.747902e+02 -2.297547e+02 1 0
42ES12_F19 1 7 53 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/7_noeffect.mov 1094 04-May-2017 16:36:21 -4.698149e+02 3.249691e+02 0 0
42ES12_F19 1 8 4 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/1_effect.mov 2294 04-May-2017 16:36:47 -3.697531e+02 -1.855848e+02 1 1
42ES12_F19 1 9 3 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/1_effect.mov 1095 04-May-2017 16:36:51 4.799196e+02 -4.649225e+02 1 0
42ES12_F19 1 10 11 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/2_effect.mov 794 04-May-2017 16:36:54 -7.673471e+01 -4.117032e+02 1 0
42ES12_F19 1 11 58 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/8_effect.mov 728 04-May-2017 16:36:57 -1.315987e+02 2.092780e+02 1 0
42ES12_F19 1 12 37 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/5_noeffect.mov 1492 04-May-2017 16:37:14 -4.529168e+02 7.962201e+01 0 1
42ES12_F19 1 13 23 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/3_noeffect.mov 794 04-May-2017 16:37:17 2.948162e+02 -4.308240e+02 0 0
42ES12_F19 1 14 40 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/5_noeffect.mov 1078 04-May-2017 16:37:21 -1.204798e+02 -3.110894e+02 0 0
42ES12_F19 1 15 13 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/2_noeffect.mov 1194 04-May-2017 16:37:24 -2.911530e+02 3.659104e+02 0 0
42ES12_F19 1 16 42 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/6_effect.mov 1195 04-May-2017 16:37:40 4.066163e+01 4.460299e+02 1 1
42ES12_F19 1 17 57 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/8_effect.mov 845 04-May-2017 16:37:43 -3.365797e+02 3.136713e+02 1 0
42ES12_F19 1 18 66 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/9_effect.mov 695 04-May-2017 16:37:46 -1.748328e+01 2.751825e+02 1 0
42ES12_F19 1 19 36 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/5_effect.mov 1061 04-May-2017 16:37:49 -8.566770e+01 -4.527995e+02 1 0
42ES12_F19 1 20 25 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/4_effect.mov 1044 04-May-2017 16:38:07 2.941818e+02 -2.727443e+02 1 1
42ES12_F19 1 21 10 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/2_effect.mov 727 04-May-2017 16:38:10 -1.239194e+02 1.266592e+01 1 0
42ES12_F19 1 22 8 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/1_noeffect.mov 1411 04-May-2017 16:38:13 3.706652e+02 -4.714392e+02 1 0
42ES12_F19 1 23 27 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/4_effect.mov 827 04-May-2017 16:38:16 -2.659900e+02 -3.571796e+02 1 0
42ES12_F19 1 24 33 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/5_effect.mov 1226 04-May-2017 16:38:34 -2.391395e+02 -7.222509e+00 1 1
42ES12_F19 1 25 61 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/8_noeffect.mov 961 04-May-2017 16:38:37 4.071595e+02 1.864855e+02 0 0
42ES12_F19 1 26 15 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/2_noeffect.mov 694 04-May-2017 16:38:40 -3.199426e+02 9.991922e+01 0 0
42ES12_F19 1 27 21 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/3_noeffect.mov 911 04-May-2017 16:38:43 -1.736761e+02 -3.118172e+02 0 0
42ES12_F19 1 28 60 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/8_effect.mov 1528 04-May-2017 16:39:05 -5.159794e+01 1.698560e+01 1 1
42ES12_F19 1 29 75 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/10_effect.mov 694 04-May-2017 16:39:08 -1.784795e+02 -2.716686e+02 1 0
42ES12_F19 1 30 28 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/4_effect.mov 1046 04-May-2017 16:39:11 7.281667e+01 -2.163054e+02 1 0
42ES12_F19 1 31 65 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/9_effect.mov 1161 04-May-2017 16:39:15 -3.094682e+02 5.355057e+01 1 0
42ES12_F19 1 32 67 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/9_effect.mov 1393 04-May-2017 16:39:37 -4.777776e+01 -1.667761e+02 1 1
42ES12_F19 1 33 32 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/4_noeffect.mov 945 04-May-2017 16:39:40 -6.776115e+01 -2.922803e+02 0 0
42ES12_F19 1 34 63 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/8_noeffect.mov 661 04-May-2017 16:39:43 -1.463428e+02 -2.106969e+02 0 0
42ES12_F19 1 35 22 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/3_noeffect.mov 812 04-May-2017 16:39:47 4.153742e+02 1.601260e+02 0 0
42ES12_F19 1 36 16 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/2_noeffect.mov 1394 04-May-2017 16:40:12 6.498487e+01 -3.267657e+02 0 1
42ES12_F19 1 37 34 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/5_effect.mov 695 04-May-2017 16:40:15 -4.454118e+02 -2.130019e+01 1 0
42ES12_F19 1 38 62 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/8_noeffect.mov 762 04-May-2017 16:40:18 3.018579e+02 1.683617e+02 0 0
42ES12_F19 1 39 77 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/10_noeffect.mov 661 04-May-2017 16:40:21 -7.718934e+01 -4.579872e+02 0 0
42ES12_F19 1 40 50 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/7_effect.mov 811 04-May-2017 16:40:40 2.512752e+02 3.557895e+02 1 1
42ES12_F19 1 41 26 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/4_effect.mov 561 04-May-2017 16:40:43 -2.234133e+01 -3.196635e+02 1 0
42ES12_F19 1 42 80 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/10_noeffect.mov 928 04-May-2017 16:40:46 4.161228e+02 2.492826e+02 0 0
42ES12_F19 1 43 48 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/6_noeffect.mov 1177 04-May-2017 16:40:50 1.935272e+02 3.823903e+02 0 0
42ES12_F19 1 44 17 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/3_effect.mov 1076 04-May-2017 16:41:08 3.273440e+02 -1.700991e+02 1 1
42ES12_F19 1 45 29 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/4_noeffect.mov 712 04-May-2017 16:41:11 3.601620e+02 8.111068e+01 0 0
42ES12_F19 1 46 19 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/3_effect.mov 694 04-May-2017 16:41:14 -1.196494e+02 4.751663e+01 1 0
42ES12_F19 1 47 68 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/9_effect.mov 1028 04-May-2017 16:41:18 -3.727286e+02 5.870998e+01 1 0
42ES12_F19 1 48 14 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/2_noeffect.mov 859 04-May-2017 16:41:43 2.563085e+02 -4.368998e+01 0 1
42ES12_F19 1 49 36 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/5_effect.mov 612 04-May-2017 16:41:45 -2.333182e+02 2.540504e+02 1 0
42ES12_F19 1 50 9 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/2_effect.mov 960 04-May-2017 16:41:49 -2.064890e+02 -1.960256e+02 1 0
42ES12_F19 1 51 31 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/4_noeffect.mov 693 04-May-2017 16:41:52 -2.041076e+02 4.269997e+02 0 0
42ES12_F19 1 52 12 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/2_effect.mov 1425 04-May-2017 16:42:18 1.703235e+02 -3.621207e+02 1 1
42ES12_F19 1 53 30 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/4_noeffect.mov 679 04-May-2017 16:42:21 -2.533049e+02 -2.046227e+02 0 0
42ES12_F19 1 54 47 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/6_noeffect.mov 777 04-May-2017 16:42:24 1.513872e+02 1.239290e+02 0 0
42ES12_F19 1 55 72 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/9_noeffect.mov 644 04-May-2017 16:42:27 -3.116045e+02 4.488314e+02 0 0
42ES12_F19 1 56 20 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/3_effect.mov 1678 04-May-2017 16:42:46 2.955649e+02 -1.430136e+02 1 1
42ES12_F19 1 57 45 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/6_noeffect.mov 561 04-May-2017 16:42:49 4.745649e+02 -3.319806e+02 0 0
42ES12_F19 1 58 7 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/1_noeffect.mov 862 04-May-2017 16:42:52 4.296815e+02 -2.905081e+01 1 0
42ES12_F19 1 59 49 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/7_effect.mov 829 04-May-2017 16:42:55 -1.297894e+02 1.074270e+02 1 0
42ES12_F19 1 60 5 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/1_noeffect.mov 1110 04-May-2017 16:43:20 -3.924284e+02 8.096335e+01 1 1
42ES12_F19 1 61 64 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/8_noeffect.mov 1161 04-May-2017 16:43:24 -2.707767e+02 -1.982998e+02 0 0
42ES12_F19 1 62 44 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/6_effect.mov 1006 04-May-2017 16:43:27 -1.264194e+02 -4.177500e+02 1 0
