subject_name subjectNumber iTrial unshuffled_trial targetOrientation flankersOrientation response correct onscreen_stim_duration magicShows rt date time_of_day deltaX deltaY surpriseClip isClipTrial
62GT30_F19 4 1 27 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/4_effect.mov 1011 03-May-2017 16:34:36 -3.281664e+01 -2.308367e+02 1 1
62GT30_F19 4 2 14 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/2_noeffect.mov 559 03-May-2017 16:34:39 -2.857352e+02 -2.511302e+01 0 0
62GT30_F19 4 3 8 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/1_noeffect.mov 793 03-May-2017 16:34:42 -4.152036e+02 1.318673e+02 1 0
62GT30_F19 4 4 75 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/10_effect.mov 946 03-May-2017 16:34:57 3.073221e+02 -5.399457e+01 1 1
62GT30_F19 4 5 1 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/1_effect.mov 1079 03-May-2017 16:35:00 -3.453148e+02 2.652368e+02 1 0
62GT30_F19 4 6 67 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/9_effect.mov 561 03-May-2017 16:35:03 4.159607e+01 8.948004e+01 1 0
62GT30_F19 4 7 4 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/1_effect.mov 877 03-May-2017 16:35:06 -3.952898e+02 -2.807979e+02 1 0
62GT30_F19 4 8 60 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/8_effect.mov 809 03-May-2017 16:35:27 -1.164215e+02 -4.986079e+02 1 1
62GT30_F19 4 9 6 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/1_noeffect.mov 695 03-May-2017 16:35:30 7.524954e+01 3.041836e+02 1 0
62GT30_F19 4 10 79 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/10_noeffect.mov 828 03-May-2017 16:35:34 4.100705e+02 -9.824181e+01 0 0
62GT30_F19 4 11 57 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/8_effect.mov 662 03-May-2017 16:35:37 -2.187650e+02 5.062685e+01 1 0
