subject_name subjectNumber iTrial unshuffled_trial targetOrientation flankersOrientation response correct onscreen_stim_duration magicShows rt date time_of_day deltaX deltaY surpriseClip isClipTrial
83GP29_F19 3 1 7 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/1_noeffect.mov 940 11-May-2017 17:23:08 2.589819e+02 -4.398083e+02 1 1
83GP29_F19 3 2 12 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/2_effect.mov 726 11-May-2017 17:23:11 -3.094504e+02 1.089635e+01 1 0
83GP29_F19 3 3 74 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/10_effect.mov 544 11-May-2017 17:23:14 2.223044e+02 3.781100e+02 1 0
83GP29_F19 3 4 52 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/7_effect.mov 994 11-May-2017 17:23:33 4.443384e+02 -1.251082e+02 1 1
83GP29_F19 3 5 19 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/3_effect.mov 845 11-May-2017 17:23:37 4.757237e+02 2.188213e+02 1 0
83GP29_F19 3 6 15 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/2_noeffect.mov 743 11-May-2017 17:23:40 3.204773e+02 -2.791925e+02 0 0
83GP29_F19 3 7 76 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/10_effect.mov 538 11-May-2017 17:23:43 3.311682e+02 4.133594e+02 1 0
83GP29_F19 3 8 75 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/10_effect.mov 793 11-May-2017 17:23:57 1.501122e+02 -6.174905e+01 1 1
83GP29_F19 3 9 23 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/3_noeffect.mov 693 11-May-2017 17:24:00 -2.628988e+02 -2.968767e+02 0 0
83GP29_F19 3 10 30 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/4_noeffect.mov 711 11-May-2017 17:24:03 1.773498e+02 -1.377718e+02 0 0
