subject_name subjectNumber iTrial unshuffled_trial targetOrientation flankersOrientation response correct onscreen_stim_duration magicShows rt date time_of_day deltaX deltaY surpriseClip isClipTrial
03ap25_f22 595 1 28 -45 -45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/4_noeffect.mov 549 25-May-2018 12:54:40 3.827579e+02 -1.917682e+02 0 1
03ap25_f22 595 2 50 45 -45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/7_noeffect.mov 491 25-May-2018 12:54:43 -3.628767e+01 -4.219023e+02 0 0
03ap25_f22 595 3 20 -45 -45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/2_noeffect.mov 480 25-May-2018 12:54:46 -3.141069e+02 -2.541164e+01 0 0
03ap25_f22 595 4 42 45 -45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/6_noeffect.mov 566 25-May-2018 12:55:01 4.900428e+02 -4.617240e+02 0 1
03ap25_f22 595 5 32 -45 -45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/4_noeffect.mov 610 25-May-2018 12:55:04 -3.632450e+02 3.885465e+02 0 0
03ap25_f22 595 6 70 45 -45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/9_noeffect.mov 470 25-May-2018 12:55:07 4.579555e+02 -1.021707e+02 0 0
03ap25_f22 595 7 39 -45 45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/5_noeffect.mov 527 25-May-2018 12:55:10 4.078048e+01 -4.938982e+02 0 0
03ap25_f22 595 8 80 -45 -45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/9_noeffect.mov 529 25-May-2018 12:55:33 -2.461772e+02 3.324140e+02 0 1
03ap25_f22 595 9 25 45 45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/4_noeffect.mov 489 25-May-2018 12:55:36 -3.069910e+02 -4.138244e+02 0 0
03ap25_f22 595 10 68 -45 -45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/9_noeffect.mov 400 25-May-2018 12:55:38 -1.297596e+02 -4.298360e+02 0 0
03ap25_f22 595 11 34 45 -45 left 0 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/5_noeffect.mov 369 25-May-2018 12:55:41 -2.029119e+02 1.085334e+02 0 0
03ap25_f22 595 12 36 -45 -45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/5_noeffect.mov 612 25-May-2018 12:55:59 4.832958e+02 2.926067e+02 0 1
