subject_name subjectNumber iTrial unshuffled_trial targetOrientation flankersOrientation response correct onscreen_stim_duration magicShows rt date time_of_day deltaX deltaY surpriseClip isClipTrial
16az17_m20 551 1 57 45 45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/8_noeffect.mov 964 22-May-2018 13:20:24 2.730090e+02 -1.240352e+02 0 1
16az17_m20 551 2 37 45 45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/5_noeffect.mov 560 22-May-2018 13:20:27 4.538969e+02 -1.171095e+02 0 0
16az17_m20 551 3 62 45 -45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/8_noeffect.mov 611 22-May-2018 13:20:30 3.468918e+02 3.230861e+02 0 0
16az17_m20 551 4 14 45 -45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/2_noeffect.mov 600 22-May-2018 13:20:56 -3.011114e+02 2.098798e+02 0 1
16az17_m20 551 5 15 -45 45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/2_noeffect.mov 474 22-May-2018 13:20:59 9.171048e+01 -1.852603e+02 0 0
16az17_m20 551 6 33 45 45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/5_noeffect.mov 419 22-May-2018 13:21:02 6.772579e+01 2.580333e+01 0 0
16az17_m20 551 7 52 -45 -45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/7_noeffect.mov 616 22-May-2018 13:21:04 -3.884949e+02 -1.255999e+02 0 0
16az17_m20 551 8 54 45 -45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/7_noeffect.mov 562 22-May-2018 13:21:24 -1.043629e+01 -1.781675e+02 0 1
16az17_m20 551 9 46 45 -45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/6_noeffect.mov 476 22-May-2018 13:21:27 2.124176e+02 -1.914551e+02 0 0
16az17_m20 551 10 42 45 -45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/6_noeffect.mov 493 22-May-2018 13:21:30 1.961394e+02 -8.309253e+01 0 0
16az17_m20 551 11 64 -45 -45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/8_noeffect.mov 743 22-May-2018 13:21:33 -4.426336e+02 4.856092e+02 0 0
16az17_m20 551 12 38 45 -45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/5_noeffect.mov 651 22-May-2018 13:21:50 -3.271061e+02 -9.883447e+01 0 1
16az17_m20 551 13 30 45 -45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/4_noeffect.mov 417 22-May-2018 13:21:53 -2.845646e+01 -2.285182e+02 0 0
16az17_m20 551 14 70 45 -45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/9_noeffect.mov 482 22-May-2018 13:21:56 1.229060e+02 2.515124e+02 0 0
16az17_m20 551 15 45 45 45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/6_noeffect.mov 452 22-May-2018 13:21:59 2.527459e+01 1.479589e+02 0 0
16az17_m20 551 16 71 -45 45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/9_noeffect.mov 763 22-May-2018 13:22:22 -1.462132e+02 -2.093465e+01 0 1
16az17_m20 551 17 11 -45 45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/2_noeffect.mov 494 22-May-2018 13:22:25 -2.221605e+02 -2.283742e+02 0 0
16az17_m20 551 18 4 -45 -45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/1_noeffect.mov 544 22-May-2018 13:22:27 -2.803784e+02 3.234431e+02 0 0
16az17_m20 551 19 29 45 45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/4_noeffect.mov 476 22-May-2018 13:22:30 -4.280619e+02 2.818548e+02 0 0
16az17_m20 551 20 41 45 45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/6_noeffect.mov 696 22-May-2018 13:22:46 2.101352e+02 4.930072e+02 0 1
16az17_m20 551 21 23 -45 45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/3_noeffect.mov 542 22-May-2018 13:22:49 -3.409181e+02 -4.205847e+01 0 0
16az17_m20 551 22 8 -45 -45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/1_noeffect.mov 441 22-May-2018 13:22:51 2.843765e+02 4.359587e+02 0 0
16az17_m20 551 23 1 45 45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/1_noeffect.mov 558 22-May-2018 13:22:54 -3.979836e+02 3.405327e+02 0 0
16az17_m20 551 24 43 -45 45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/6_noeffect.mov 796 22-May-2018 13:23:10 7.465141e+01 3.345609e+02 0 1
16az17_m20 551 25 72 -45 -45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/9_noeffect.mov 444 22-May-2018 13:23:13 -2.706388e+01 1.273331e+02 0 0
16az17_m20 551 26 24 -45 -45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/3_noeffect.mov 439 22-May-2018 13:23:15 -1.119910e+02 -3.132611e+02 0 0
16az17_m20 551 27 26 45 -45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/4_noeffect.mov 544 22-May-2018 13:23:18 2.512872e+02 -1.444359e+02 0 0
16az17_m20 551 28 20 -45 -45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/2_noeffect.mov 613 22-May-2018 13:23:44 -1.070223e+02 -4.576897e+02 0 1
16az17_m20 551 29 68 -45 -45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/9_noeffect.mov 466 22-May-2018 13:23:47 -9.565163e+01 -3.872861e+01 0 0
16az17_m20 551 30 39 -45 45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/5_noeffect.mov 498 22-May-2018 13:23:50 -2.411000e+02 -2.859798e+02 0 0
16az17_m20 551 31 49 45 45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/7_noeffect.mov 528 22-May-2018 13:23:52 -4.697754e+02 -1.608404e+01 0 0
16az17_m20 551 32 31 -45 45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/4_noeffect.mov 765 22-May-2018 13:24:11 4.250232e+02 -3.900585e+02 0 1
16az17_m20 551 33 63 -45 45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/8_noeffect.mov 582 22-May-2018 13:24:13 4.155702e+02 3.086712e+02 0 0
16az17_m20 551 34 55 -45 45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/7_noeffect.mov 694 22-May-2018 13:24:16 6.760318e+01 2.254183e+02 0 0
16az17_m20 551 35 59 -45 45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/8_noeffect.mov 491 22-May-2018 13:24:19 -2.876697e+02 -1.680994e+02 0 0
16az17_m20 551 36 7 -45 45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/1_noeffect.mov 614 22-May-2018 13:24:45 3.794510e+02 -4.351364e+02 0 1
16az17_m20 551 37 78 45 -45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/9_noeffect.mov 509 22-May-2018 13:24:48 -7.064623e+01 1.409282e+02 0 0
16az17_m20 551 38 25 45 45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/4_noeffect.mov 419 22-May-2018 13:24:51 1.252679e+02 1.618283e+02 0 0
16az17_m20 551 39 10 45 -45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/2_noeffect.mov 445 22-May-2018 13:24:54 -1.695748e+02 -2.589422e+02 0 0
16az17_m20 551 40 21 45 45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/3_noeffect.mov 864 22-May-2018 13:25:13 3.195737e+02 -2.880877e+02 0 1
16az17_m20 551 41 58 45 -45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/8_noeffect.mov 533 22-May-2018 13:25:16 1.758425e+02 -4.891041e+02 0 0
16az17_m20 551 42 66 45 -45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/9_noeffect.mov 527 22-May-2018 13:25:19 4.351212e+02 2.878022e+02 0 0
16az17_m20 551 43 51 -45 45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/7_noeffect.mov 510 22-May-2018 13:25:22 -4.202122e+02 -1.377213e+02 0 0
16az17_m20 551 44 13 45 45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/2_noeffect.mov 681 22-May-2018 13:25:48 2.231599e+02 1.082670e+02 0 1
16az17_m20 551 45 75 -45 45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/9_noeffect.mov 525 22-May-2018 13:25:51 3.033247e+02 -1.934977e+02 0 0
16az17_m20 551 46 12 -45 -45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/2_noeffect.mov 843 22-May-2018 13:25:54 -1.019333e+02 -3.055095e+02 0 0
16az17_m20 551 47 69 45 45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/9_noeffect.mov 562 22-May-2018 13:25:56 -2.829258e+02 -1.830109e+02 0 0
16az17_m20 551 48 22 45 -45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/3_noeffect.mov 730 22-May-2018 13:26:16 3.374305e+02 -5.852174e+01 0 1
16az17_m20 551 49 35 -45 45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/5_noeffect.mov 462 22-May-2018 13:26:18 2.953702e+02 3.860198e+02 0 0
16az17_m20 551 50 6 45 -45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/1_noeffect.mov 527 22-May-2018 13:26:21 2.939808e+02 -8.984181e+00 0 0
16az17_m20 551 51 3 -45 45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/1_noeffect.mov 675 22-May-2018 13:26:24 -1.088876e+02 -1.563072e+02 0 0
16az17_m20 551 52 53 45 45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/7_noeffect.mov 747 22-May-2018 13:26:44 3.358414e+02 4.871340e+02 0 1
16az17_m20 551 53 44 -45 -45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/6_noeffect.mov 583 22-May-2018 13:26:47 4.325033e+01 6.866252e+01 0 0
16az17_m20 551 54 60 -45 -45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/8_noeffect.mov 376 22-May-2018 13:26:50 7.104939e+01 9.422759e+01 0 0
16az17_m20 551 55 2 45 -45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/1_noeffect.mov 627 22-May-2018 13:26:53 4.114038e+02 3.616227e+02 0 0
16az17_m20 551 56 19 -45 45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/2_noeffect.mov 630 22-May-2018 13:27:19 6.736565e+01 -3.496534e+02 0 1
16az17_m20 551 57 80 -45 -45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/9_noeffect.mov 480 22-May-2018 13:27:22 1.055815e+02 5.259183e+01 0 0
16az17_m20 551 58 36 -45 -45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/5_noeffect.mov 648 22-May-2018 13:27:25 -3.636029e+02 4.540371e+02 0 0
