subject_name subjectNumber iTrial unshuffled_trial targetOrientation flankersOrientation response correct onscreen_stim_duration magicShows rt date time_of_day deltaX deltaY surpriseClip isClipTrial
16dp26_f21 588 1 10 45 -45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/2_noeffect.mov 730 25-May-2018 11:39:30 -1.109418e+02 -3.685745e+02 0 1
16dp26_f21 588 2 52 -45 -45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/7_noeffect.mov 459 25-May-2018 11:39:33 2.259473e+02 -1.887760e+02 0 0
16dp26_f21 588 3 50 45 -45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/7_noeffect.mov 609 25-May-2018 11:39:36 -3.952782e+02 -1.522027e+02 0 0
16dp26_f21 588 4 60 -45 -45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/8_noeffect.mov 812 25-May-2018 11:39:58 -4.367379e+02 -4.639676e+02 0 1
16dp26_f21 588 5 64 -45 -45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/8_noeffect.mov 490 25-May-2018 11:40:01 2.268824e+00 -4.207266e+02 0 0
16dp26_f21 588 6 27 -45 45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/4_noeffect.mov 441 25-May-2018 11:40:04 1.384405e+02 3.919942e+01 0 0
16dp26_f21 588 7 8 -45 -45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/1_noeffect.mov 361 25-May-2018 11:40:07 4.118062e+01 -1.742771e+01 0 0
16dp26_f21 588 8 44 -45 -45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/6_noeffect.mov 629 25-May-2018 11:40:22 -4.671072e+02 1.840589e+01 0 1
16dp26_f21 588 9 41 45 45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/6_noeffect.mov 678 25-May-2018 11:40:25 -2.167423e+02 -2.582276e+02 0 0
16dp26_f21 588 10 1 45 45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/1_noeffect.mov 459 25-May-2018 11:40:28 2.599312e+02 -3.314901e+02 0 0
16dp26_f21 588 11 75 -45 45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/9_noeffect.mov 643 25-May-2018 11:40:31 1.031176e+02 3.593409e+02 0 0
16dp26_f21 588 12 31 -45 45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/4_noeffect.mov 613 25-May-2018 11:40:49 1.777619e+01 -4.909445e+02 0 1
16dp26_f21 588 13 26 45 -45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/4_noeffect.mov 727 25-May-2018 11:40:52 3.656801e+02 4.601721e+02 0 0
16dp26_f21 588 14 13 45 45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/2_noeffect.mov 527 25-May-2018 11:40:55 -2.352338e+02 -7.034326e+01 0 0
16dp26_f21 588 15 62 45 -45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/8_noeffect.mov 593 25-May-2018 11:40:58 -3.687045e+02 4.797275e+02 0 0
16dp26_f21 588 16 28 -45 -45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/4_noeffect.mov 613 25-May-2018 11:41:16 1.638486e+02 -4.211630e+02 0 1
16dp26_f21 588 17 72 -45 -45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/9_noeffect.mov 486 25-May-2018 11:41:19 -6.714314e+01 1.588593e+02 0 0
16dp26_f21 588 18 7 -45 45 right 0 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/1_noeffect.mov 492 25-May-2018 11:41:22 5.489833e+01 -9.971066e+00 0 0
16dp26_f21 588 19 49 45 45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/7_noeffect.mov 490 25-May-2018 11:41:24 3.451504e+02 -3.421352e+02 0 0
16dp26_f21 588 20 47 -45 45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/6_noeffect.mov 697 25-May-2018 11:41:40 -1.757087e+01 1.234176e+02 0 1
16dp26_f21 588 21 16 -45 -45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/2_noeffect.mov 508 25-May-2018 11:41:43 1.953225e+02 4.341673e+02 0 0
16dp26_f21 588 22 42 45 -45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/6_noeffect.mov 464 25-May-2018 11:41:46 1.377669e+02 1.669101e+02 0 0
16dp26_f21 588 23 4 -45 -45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/1_noeffect.mov 593 25-May-2018 11:41:49 -2.969172e+02 3.493933e+01 0 0
16dp26_f21 588 24 71 -45 45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/9_noeffect.mov 746 25-May-2018 11:42:12 7.598776e+01 -1.615206e+02 0 1
16dp26_f21 588 25 11 -45 45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/2_noeffect.mov 393 25-May-2018 11:42:14 1.206658e+02 -1.969716e+02 0 0
16dp26_f21 588 26 14 45 -45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/2_noeffect.mov 542 25-May-2018 11:42:17 -6.740994e+01 3.235866e+02 0 0
16dp26_f21 588 27 2 45 -45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/1_noeffect.mov 456 25-May-2018 11:42:20 6.432589e+01 -4.240747e+01 0 0
16dp26_f21 588 28 59 -45 45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/8_noeffect.mov 629 25-May-2018 11:42:42 2.857336e+02 1.093846e+02 0 1
16dp26_f21 588 29 29 45 45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/4_noeffect.mov 428 25-May-2018 11:42:45 8.246729e+01 -1.019072e+01 0 0
16dp26_f21 588 30 21 45 45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/3_noeffect.mov 469 25-May-2018 11:42:48 6.163492e+01 -3.862976e+02 0 0
16dp26_f21 588 31 54 45 -45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/7_noeffect.mov 543 25-May-2018 11:42:50 2.567110e+02 -2.088112e+01 0 0
16dp26_f21 588 32 35 -45 45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/5_noeffect.mov 746 25-May-2018 11:43:08 -3.863782e+02 -3.504163e+02 0 1
16dp26_f21 588 33 57 45 45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/8_noeffect.mov 439 25-May-2018 11:43:11 4.225160e+02 1.329051e+02 0 0
16dp26_f21 588 34 20 -45 -45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/2_noeffect.mov 416 25-May-2018 11:43:14 3.018436e+02 3.013768e+02 0 0
16dp26_f21 588 35 76 -45 -45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/9_noeffect.mov 403 25-May-2018 11:43:16 -4.774738e+02 -1.072293e+02 0 0
