subject_name subjectNumber iTrial unshuffled_trial targetOrientation flankersOrientation response correct onscreen_stim_duration magicShows rt date time_of_day deltaX deltaY surpriseClip isClipTrial
29gs27_m19 539 1 48 -45 -45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/6_noeffect.mov 1012 22-May-2018 10:53:25 1.668036e+02 -8.002151e+01 0 1
29gs27_m19 539 2 54 45 -45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/7_noeffect.mov 331 22-May-2018 10:53:27 2.035572e+02 4.426628e+02 0 0
29gs27_m19 539 3 9 45 45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/2_noeffect.mov 405 22-May-2018 10:53:30 -2.478697e+02 -3.117938e+02 0 0
29gs27_m19 539 4 16 -45 -45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/2_noeffect.mov 530 22-May-2018 10:53:56 -3.833628e+02 2.503559e+02 0 1
29gs27_m19 539 5 42 45 -45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/6_noeffect.mov 576 22-May-2018 10:53:59 4.746048e+02 1.400361e+02 0 0
29gs27_m19 539 6 26 45 -45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/4_noeffect.mov 484 22-May-2018 10:54:02 -2.929372e+01 1.877950e+02 0 0
29gs27_m19 539 7 41 45 45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/6_noeffect.mov 446 22-May-2018 10:54:05 -4.489565e+02 3.479425e+01 0 0
29gs27_m19 539 8 20 -45 -45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/2_noeffect.mov 435 22-May-2018 10:54:31 2.201973e+02 1.501856e+02 0 1
29gs27_m19 539 9 76 -45 -45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/9_noeffect.mov 390 22-May-2018 10:54:34 -1.058019e+02 1.808160e+02 0 0
29gs27_m19 539 10 53 45 45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/7_noeffect.mov 398 22-May-2018 10:54:37 -2.788085e+01 -4.605451e+02 0 0
