subject_name subjectNumber iTrial unshuffled_trial targetOrientation flankersOrientation response correct onscreen_stim_duration magicShows rt date time_of_day deltaX deltaY surpriseClip isClipTrial
54is03_f20 560 1 3 -45 45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/1_noeffect.mov 746 25-May-2018 13:48:49 -4.880908e+01 -3.746989e+02 0 1
54is03_f20 560 2 51 -45 45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/7_noeffect.mov 744 25-May-2018 13:48:52 -2.026212e+01 -4.787557e+02 0 0
54is03_f20 560 3 12 -45 -45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/2_noeffect.mov 560 25-May-2018 13:48:55 4.040990e+02 -4.707722e+02 0 0
54is03_f20 560 4 33 45 45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/5_noeffect.mov 832 25-May-2018 13:49:13 3.971923e+02 2.853179e+02 0 1
54is03_f20 560 5 66 45 -45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/9_noeffect.mov 609 25-May-2018 13:49:16 -4.181674e+02 3.656978e+02 0 0
54is03_f20 560 6 10 45 -45 left 0 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/2_noeffect.mov 527 25-May-2018 13:49:19 -1.482785e+02 4.553979e+02 0 0
54is03_f20 560 7 35 -45 45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/5_noeffect.mov 1361 25-May-2018 13:49:22 -4.277446e+02 -1.042945e+02 0 0
54is03_f20 560 8 41 45 45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/6_noeffect.mov 766 25-May-2018 13:49:38 -3.582896e+02 -2.705016e+01 0 1
54is03_f20 560 9 24 -45 -45 right 0 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/3_noeffect.mov 1028 25-May-2018 13:49:42 -9.871812e+01 -4.100564e+02 0 0
54is03_f20 560 10 31 -45 45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/4_noeffect.mov 958 25-May-2018 13:49:45 -3.831134e+02 -1.786523e+02 0 0
54is03_f20 560 11 22 45 -45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/3_noeffect.mov 593 25-May-2018 13:49:48 -3.408810e+02 -1.395837e+02 0 0
54is03_f20 560 12 78 45 -45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/9_noeffect.mov 646 25-May-2018 13:50:11 -2.125091e+02 -4.093325e+02 0 1
54is03_f20 560 13 16 -45 -45 right 0 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/2_noeffect.mov 477 25-May-2018 13:50:14 1.400435e+02 -2.871308e+02 0 0
54is03_f20 560 14 76 -45 -45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/9_noeffect.mov 967 25-May-2018 13:50:17 1.736460e+02 -4.998228e+02 0 0
54is03_f20 560 15 39 -45 45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/5_noeffect.mov 626 25-May-2018 13:50:20 -4.050804e+02 1.230929e+02 0 0
54is03_f20 560 16 79 -45 45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/9_noeffect.mov 846 25-May-2018 13:50:43 -3.756782e+02 -4.048035e+01 0 1
54is03_f20 560 17 26 45 -45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/4_noeffect.mov 551 25-May-2018 13:50:46 -2.557130e+02 3.688567e+02 0 0
54is03_f20 560 18 4 -45 -45 right 0 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/1_noeffect.mov 558 25-May-2018 13:50:49 -3.388958e+00 -4.854856e+02 0 0
54is03_f20 560 19 20 -45 -45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/2_noeffect.mov 543 25-May-2018 13:50:52 -4.404539e+02 4.580610e+02 0 0
54is03_f20 560 20 65 45 45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/9_noeffect.mov 796 25-May-2018 13:51:15 -2.782636e+02 2.890782e+02 0 1
54is03_f20 560 21 27 -45 45 right 0 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/4_noeffect.mov 826 25-May-2018 13:51:18 7.072176e+01 -6.196499e+01 0 0
54is03_f20 560 22 75 -45 45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/9_noeffect.mov 910 25-May-2018 13:51:21 4.971065e+02 -4.033360e+02 0 0
54is03_f20 560 23 63 -45 45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/8_noeffect.mov 725 25-May-2018 13:51:24 -4.569430e+02 4.524824e+01 0 0
54is03_f20 560 24 54 45 -45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/7_noeffect.mov 830 25-May-2018 13:51:45 -4.292444e+02 9.378823e+01 0 1
54is03_f20 560 25 28 -45 -45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/4_noeffect.mov 643 25-May-2018 13:51:48 3.989739e+01 4.424989e+02 0 0
54is03_f20 560 26 34 45 -45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/5_noeffect.mov 742 25-May-2018 13:51:51 -4.614485e+02 -4.558742e+02 0 0
54is03_f20 560 27 56 -45 -45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/7_noeffect.mov 715 25-May-2018 13:51:54 -3.594125e+01 -1.662881e+02 0 0
54is03_f20 560 28 14 45 -45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/2_noeffect.mov 811 25-May-2018 13:52:20 1.412286e+02 -4.886581e+02 0 1
54is03_f20 560 29 68 -45 -45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/9_noeffect.mov 709 25-May-2018 13:52:23 -1.976455e+00 3.033828e+02 0 0
54is03_f20 560 30 80 -45 -45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/9_noeffect.mov 692 25-May-2018 13:52:26 2.336346e+02 1.834439e+02 0 0
54is03_f20 560 31 55 -45 45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/7_noeffect.mov 477 25-May-2018 13:52:29 3.685891e+01 -4.325305e+02 0 0
54is03_f20 560 32 45 45 45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/6_noeffect.mov 1063 25-May-2018 13:52:45 -4.840009e+02 -4.795243e+02 0 1
54is03_f20 560 33 2 45 -45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/1_noeffect.mov 509 25-May-2018 13:52:48 8.845198e+01 -4.206308e+01 0 0
54is03_f20 560 34 61 45 45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/8_noeffect.mov 386 25-May-2018 13:52:51 1.489723e+02 -1.819468e+02 0 0
54is03_f20 560 35 29 45 45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/4_noeffect.mov 643 25-May-2018 13:52:54 -4.175765e+02 4.749907e+02 0 0
54is03_f20 560 36 21 45 45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/3_noeffect.mov 796 25-May-2018 13:53:13 4.038896e+02 3.825218e+01 0 1
