subject_name subjectNumber iTrial unshuffled_trial targetOrientation flankersOrientation response correct onscreen_stim_duration magicShows rt date time_of_day deltaX deltaY surpriseClip isClipTrial
69iv18_m19 567 1 30 45 -45 left 0 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/4_noeffect.mov 730 23-May-2018 10:19:24 1.286665e+02 2.583660e+02 0 1
69iv18_m19 567 2 55 -45 45 right 0 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/7_noeffect.mov 466 23-May-2018 10:19:27 -4.507639e+02 5.492612e+01 0 0
69iv18_m19 567 3 36 -45 -45 right 0 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/5_noeffect.mov 492 23-May-2018 10:19:30 3.004877e+02 -4.621246e+02 0 0
69iv18_m19 567 4 80 -45 -45 right 0 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/9_noeffect.mov 711 23-May-2018 10:19:53 1.180149e+02 1.729016e+02 0 1
69iv18_m19 567 5 74 45 -45 left 0 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/9_noeffect.mov 451 23-May-2018 10:19:56 1.231431e+02 -9.930980e+01 0 0
69iv18_m19 567 6 46 45 -45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/6_noeffect.mov 561 23-May-2018 10:19:59 -3.927911e+02 -2.160782e+02 0 0
69iv18_m19 567 7 33 45 45 left 0 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/5_noeffect.mov 431 23-May-2018 10:20:01 2.284419e+00 -1.002525e+01 0 0
69iv18_m19 567 8 78 45 -45 left 0 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/9_noeffect.mov 629 23-May-2018 10:20:24 -8.941956e+01 4.502195e+02 0 1
69iv18_m19 567 9 50 45 -45 left 0 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/7_noeffect.mov 493 23-May-2018 10:20:27 3.566521e+02 -8.628697e+01 0 0
69iv18_m19 567 10 58 45 -45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/8_noeffect.mov 577 23-May-2018 10:20:30 -4.114592e+01 -3.135586e+02 0 0
69iv18_m19 567 11 59 -45 45 right 0 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/8_noeffect.mov 576 23-May-2018 10:20:33 -5.691461e+01 -4.837931e+02 0 0
69iv18_m19 567 12 41 45 45 left 0 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/6_noeffect.mov 579 23-May-2018 10:20:48 -2.299079e+02 1.409747e+02 0 1
69iv18_m19 567 13 37 45 45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/5_noeffect.mov 659 23-May-2018 10:20:51 4.889054e+02 6.368203e+01 0 0
