subject_name subjectNumber iTrial unshuffled_trial targetOrientation flankersOrientation response correct onscreen_stim_duration magicShows rt date time_of_day deltaX deltaY surpriseClip isClipTrial
77lm27_m19 536 1 10 45 -45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/2_noeffect.mov 729 22-May-2018 10:19:17 4.363129e+02 4.959540e+01 0 1
77lm27_m19 536 2 68 -45 -45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/9_noeffect.mov 1175 22-May-2018 10:19:20 -4.924351e+02 3.683574e+02 0 0
77lm27_m19 536 3 9 45 45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/2_noeffect.mov 694 22-May-2018 10:19:23 -3.420816e+02 2.706273e+02 0 0
77lm27_m19 536 4 33 45 45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/5_noeffect.mov 650 22-May-2018 10:19:41 3.817496e+02 -2.550364e+02 0 1
77lm27_m19 536 5 46 45 -45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/6_noeffect.mov 543 22-May-2018 10:19:43 -3.374628e+02 8.433436e-01 0 0
77lm27_m19 536 6 53 45 45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/7_noeffect.mov 525 22-May-2018 10:19:46 -3.690127e+02 -2.546520e+02 0 0
77lm27_m19 536 7 74 45 -45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/9_noeffect.mov 543 22-May-2018 10:19:49 -4.215710e+02 -4.620570e+02 0 0
77lm27_m19 536 8 63 -45 45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/8_noeffect.mov 547 22-May-2018 10:20:11 7.038850e+01 5.165997e+01 0 1
77lm27_m19 536 9 54 45 -45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/7_noeffect.mov 732 22-May-2018 10:20:14 3.106654e+02 4.629989e+02 0 0
77lm27_m19 536 10 47 -45 45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/6_noeffect.mov 565 22-May-2018 10:20:17 1.931678e+02 4.869827e+02 0 0
77lm27_m19 536 11 58 45 -45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/8_noeffect.mov 533 22-May-2018 10:20:20 -3.509395e+02 4.377682e+02 0 0
77lm27_m19 536 12 29 45 45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/4_noeffect.mov 799 22-May-2018 10:20:38 4.835498e+02 3.880953e+01 0 1
77lm27_m19 536 13 60 -45 -45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/8_noeffect.mov 749 22-May-2018 10:20:42 -5.913422e+01 -2.158938e+02 0 0
77lm27_m19 536 14 23 -45 45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/3_noeffect.mov 709 22-May-2018 10:20:45 -4.465442e+02 -2.070693e+02 0 0
77lm27_m19 536 15 40 -45 -45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/5_noeffect.mov 783 22-May-2018 10:20:48 1.139323e+02 2.480882e+02 0 0
77lm27_m19 536 16 50 45 -45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/7_noeffect.mov 817 22-May-2018 10:21:08 -4.157135e+02 4.809974e+01 0 1
77lm27_m19 536 17 11 -45 45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/2_noeffect.mov 544 22-May-2018 10:21:11 2.791017e+02 -4.442668e+02 0 0
77lm27_m19 536 18 16 -45 -45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/2_noeffect.mov 760 22-May-2018 10:21:14 -1.872285e+02 -4.454136e+01 0 0
77lm27_m19 536 19 57 45 45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/8_noeffect.mov 625 22-May-2018 10:21:17 2.507089e+02 -2.515176e+02 0 0
77lm27_m19 536 20 62 45 -45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/8_noeffect.mov 648 22-May-2018 10:21:39 4.094282e+02 -3.385081e+02 0 1
77lm27_m19 536 21 48 -45 -45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/6_noeffect.mov 485 22-May-2018 10:21:42 8.030272e+01 1.116643e+02 0 0
77lm27_m19 536 22 25 45 45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/4_noeffect.mov 675 22-May-2018 10:21:45 -2.749978e+02 1.132759e+02 0 0
77lm27_m19 536 23 37 45 45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/5_noeffect.mov 717 22-May-2018 10:21:48 3.054358e+02 -1.169112e+02 0 0
77lm27_m19 536 24 15 -45 45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/2_noeffect.mov 697 22-May-2018 10:22:14 1.346566e+02 -1.278198e+02 0 1
77lm27_m19 536 25 22 45 -45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/3_noeffect.mov 962 22-May-2018 10:22:18 -9.979762e+01 4.142320e+02 0 0
77lm27_m19 536 26 66 45 -45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/9_noeffect.mov 593 22-May-2018 10:22:21 -3.260346e+02 2.532574e+00 0 0
77lm27_m19 536 27 21 45 45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/3_noeffect.mov 810 22-May-2018 10:22:24 1.105603e+02 1.294444e+02 0 0
77lm27_m19 536 28 8 -45 -45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/1_noeffect.mov 613 22-May-2018 10:22:50 3.321438e+02 -4.701704e+02 0 1
77lm27_m19 536 29 61 45 45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/8_noeffect.mov 559 22-May-2018 10:22:53 5.575223e+01 -3.624075e+01 0 0
77lm27_m19 536 30 38 45 -45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/5_noeffect.mov 716 22-May-2018 10:22:56 -4.970750e+02 1.732263e+02 0 0
