subject_name subjectNumber iTrial unshuffled_trial targetOrientation flankersOrientation response correct onscreen_stim_duration magicShows rt date time_of_day deltaX deltaY surpriseClip isClipTrial
81el27_f33 563 1 70 45 -45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/9_noeffect.mov 780 25-May-2018 14:41:40 -1.843156e+02 -4.272874e+02 0 1
81el27_f33 563 2 24 -45 -45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/3_noeffect.mov 942 25-May-2018 14:41:43 4.734958e+01 -4.845615e+02 0 0
81el27_f33 563 3 40 -45 -45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/5_noeffect.mov 726 25-May-2018 14:41:47 4.571150e+02 1.419301e+02 0 0
81el27_f33 563 4 27 -45 45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/4_noeffect.mov 764 25-May-2018 14:42:05 -2.275203e+02 -2.409674e+02 0 1
81el27_f33 563 5 38 45 -45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/5_noeffect.mov 496 25-May-2018 14:42:08 -2.280984e+02 2.243837e+02 0 0
81el27_f33 563 6 19 -45 45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/2_noeffect.mov 567 25-May-2018 14:42:11 2.625038e+02 4.780724e+02 0 0
81el27_f33 563 7 73 45 45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/9_noeffect.mov 469 25-May-2018 14:42:13 -1.545776e+02 -2.809185e+02 0 0
81el27_f33 563 8 66 45 -45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/9_noeffect.mov 797 25-May-2018 14:42:37 1.707287e+02 -4.595639e+02 0 1
81el27_f33 563 9 80 -45 -45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/9_noeffect.mov 726 25-May-2018 14:42:40 4.195036e+02 4.235903e+02 0 0
81el27_f33 563 10 74 45 -45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/9_noeffect.mov 1043 25-May-2018 14:42:43 2.317683e+02 -1.518122e+01 0 0
81el27_f33 563 11 10 45 -45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/2_noeffect.mov 677 25-May-2018 14:42:46 -4.561898e+02 4.487172e+02 0 0
81el27_f33 563 12 56 -45 -45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/7_noeffect.mov 664 25-May-2018 14:43:06 2.030927e+02 2.246632e+02 0 1
81el27_f33 563 13 48 -45 -45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/6_noeffect.mov 697 25-May-2018 14:43:09 3.058640e+02 1.629552e+02 0 0
81el27_f33 563 14 30 45 -45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/4_noeffect.mov 581 25-May-2018 14:43:12 1.400918e+02 1.260126e+02 0 0
81el27_f33 563 15 34 45 -45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/5_noeffect.mov 825 25-May-2018 14:43:15 -4.392753e+01 -4.440608e+02 0 0
81el27_f33 563 16 29 45 45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/4_noeffect.mov 548 25-May-2018 14:43:33 8.602557e+01 4.755141e+02 0 1
81el27_f33 563 17 17 45 45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/2_noeffect.mov 492 25-May-2018 14:43:36 -2.246781e+02 1.864973e+02 0 0
81el27_f33 563 18 4 -45 -45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/1_noeffect.mov 559 25-May-2018 14:43:39 1.916362e+02 2.821318e+02 0 0
81el27_f33 563 19 15 -45 45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/2_noeffect.mov 777 25-May-2018 14:43:42 -4.318427e+02 1.644118e+02 0 0
81el27_f33 563 20 47 -45 45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/6_noeffect.mov 549 25-May-2018 14:43:58 2.450975e+02 -2.458918e+02 0 1
81el27_f33 563 21 61 45 45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/8_noeffect.mov 525 25-May-2018 14:44:01 -8.534134e+01 -3.611296e+02 0 0
81el27_f33 563 22 20 -45 -45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/2_noeffect.mov 1093 25-May-2018 14:44:04 4.899905e+02 -1.928855e+01 0 0
81el27_f33 563 23 13 45 45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/2_noeffect.mov 558 25-May-2018 14:44:07 1.696779e+02 1.292909e+02 0 0
81el27_f33 563 24 41 45 45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/6_noeffect.mov 547 25-May-2018 14:44:23 -3.923781e+02 -2.031628e+02 0 1
81el27_f33 563 25 52 -45 -45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/7_noeffect.mov 486 25-May-2018 14:44:25 -2.570453e+02 8.925053e+01 0 0
81el27_f33 563 26 43 -45 45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/6_noeffect.mov 709 25-May-2018 14:44:28 -4.329630e+02 1.119158e+02 0 0
81el27_f33 563 27 46 45 -45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/6_noeffect.mov 558 25-May-2018 14:44:31 4.000285e+02 4.827321e+02 0 0
81el27_f33 563 28 7 -45 45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/1_noeffect.mov 582 25-May-2018 14:44:58 7.615839e+01 4.544158e+02 0 1
