subject_name subjectNumber iTrial unshuffled_trial targetOrientation flankersOrientation response correct onscreen_stim_duration magicShows rt date time_of_day deltaX deltaY surpriseClip isClipTrial
88fs29_m20 578 1 78 45 -45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/9_noeffect.mov 681 25-May-2018 09:46:08 3.190718e+02 4.979163e+02 0 1
88fs29_m20 578 2 25 45 45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/4_noeffect.mov 977 25-May-2018 09:46:11 2.741685e+02 -1.297442e+02 0 0
88fs29_m20 578 3 41 45 45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/6_noeffect.mov 776 25-May-2018 09:46:14 -1.458326e+02 -4.760162e+02 0 0
88fs29_m20 578 4 14 45 -45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/2_noeffect.mov 646 25-May-2018 09:46:41 7.351715e+01 -1.571426e+02 0 1
88fs29_m20 578 5 39 -45 45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/5_noeffect.mov 542 25-May-2018 09:46:44 2.824289e+02 -3.905999e+02 0 0
88fs29_m20 578 6 8 -45 -45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/1_noeffect.mov 760 25-May-2018 09:46:47 -3.908831e+02 4.136480e+01 0 0
88fs29_m20 578 7 13 45 45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/2_noeffect.mov 725 25-May-2018 09:46:50 -3.538095e+02 -2.826683e+02 0 0
88fs29_m20 578 8 64 -45 -45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/8_noeffect.mov 996 25-May-2018 09:47:12 -1.953388e+02 4.071529e+02 0 1
88fs29_m20 578 9 29 45 45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/4_noeffect.mov 693 25-May-2018 09:47:16 -2.830390e+02 1.074949e+02 0 0
88fs29_m20 578 10 11 -45 45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/2_noeffect.mov 692 25-May-2018 09:47:19 -2.002672e+02 -3.852773e+02 0 0
88fs29_m20 578 11 49 45 45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/7_noeffect.mov 776 25-May-2018 09:47:22 -4.601831e+02 4.775600e+02 0 0
88fs29_m20 578 12 80 -45 -45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/9_noeffect.mov 813 25-May-2018 09:47:45 -2.855763e+02 -4.588883e+02 0 1
88fs29_m20 578 13 79 -45 45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/9_noeffect.mov 843 25-May-2018 09:47:48 -4.151178e+02 -4.963355e+02 0 0
88fs29_m20 578 14 71 -45 45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/9_noeffect.mov 649 25-May-2018 09:47:51 -2.263011e+02 1.989769e+02 0 0
88fs29_m20 578 15 50 45 -45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/7_noeffect.mov 592 25-May-2018 09:47:54 -2.737253e+02 -4.688834e+02 0 0
88fs29_m20 578 16 70 45 -45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/9_noeffect.mov 763 25-May-2018 09:48:17 4.570621e+02 4.346460e+01 0 1
88fs29_m20 578 17 32 -45 -45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/4_noeffect.mov 659 25-May-2018 09:48:20 -4.981442e+02 -4.471252e+02 0 0
88fs29_m20 578 18 55 -45 45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/7_noeffect.mov 643 25-May-2018 09:48:23 1.551451e+02 -3.206592e+02 0 0
88fs29_m20 578 19 19 -45 45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/2_noeffect.mov 543 25-May-2018 09:48:26 -4.822803e+02 2.490339e+02 0 0
88fs29_m20 578 20 27 -45 45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/4_noeffect.mov 746 25-May-2018 09:48:45 2.877840e+02 4.222335e+02 0 1
88fs29_m20 578 21 42 45 -45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/6_noeffect.mov 760 25-May-2018 09:48:48 3.110914e+02 2.449131e+02 0 0
88fs29_m20 578 22 45 45 45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/6_noeffect.mov 658 25-May-2018 09:48:51 -4.111623e+02 3.275824e+02 0 0
88fs29_m20 578 23 16 -45 -45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/2_noeffect.mov 692 25-May-2018 09:48:54 -3.307384e+02 1.249413e+02 0 0
88fs29_m20 578 24 21 45 45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/3_noeffect.mov 764 25-May-2018 09:49:13 2.541929e+01 -3.265114e+02 0 1
88fs29_m20 578 25 77 45 45 left 0 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/9_noeffect.mov 575 25-May-2018 09:49:16 -1.885476e+02 2.328761e+01 0 0
88fs29_m20 578 26 72 -45 -45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/9_noeffect.mov 892 25-May-2018 09:49:19 4.027591e+02 3.399181e+02 0 0
88fs29_m20 578 27 22 45 -45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/3_noeffect.mov 826 25-May-2018 09:49:23 1.586587e+02 -2.435117e+02 0 0
