subject_name subjectNumber iTrial unshuffled_trial targetOrientation flankersOrientation response correct onscreen_stim_duration magicShows rt date time_of_day deltaX deltaY surpriseClip isClipTrial
92dm08_25 585 1 45 45 45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/6_noeffect.mov 748 25-May-2018 11:04:13 2.465875e+02 -2.624861e+02 0 1
92dm08_25 585 2 66 45 -45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/9_noeffect.mov 760 25-May-2018 11:04:16 -2.875362e+02 -3.118551e+02 0 0
92dm08_25 585 3 53 45 45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/7_noeffect.mov 676 25-May-2018 11:04:19 2.963021e+02 -2.428252e+01 0 0
92dm08_25 585 4 56 -45 -45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/7_noeffect.mov 699 25-May-2018 11:04:40 -4.667626e+02 2.189549e+02 0 1
92dm08_25 585 5 32 -45 -45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/4_noeffect.mov 808 25-May-2018 11:04:43 -2.642133e+02 2.841973e+01 0 0
92dm08_25 585 6 15 -45 45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/2_noeffect.mov 642 25-May-2018 11:04:46 4.854360e+02 3.996569e+01 0 0
92dm08_25 585 7 58 45 -45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/8_noeffect.mov 695 25-May-2018 11:04:49 4.399122e+02 -3.989551e+02 0 0
92dm08_25 585 8 67 -45 45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/9_noeffect.mov 746 25-May-2018 11:05:12 8.620951e+01 -4.582213e+02 0 1
92dm08_25 585 9 23 -45 45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/3_noeffect.mov 792 25-May-2018 11:05:15 -4.757576e+02 -4.096512e+02 0 0
92dm08_25 585 10 52 -45 -45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/7_noeffect.mov 793 25-May-2018 11:05:18 -1.393485e+02 2.689581e+02 0 0
92dm08_25 585 11 63 -45 45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/8_noeffect.mov 742 25-May-2018 11:05:21 -3.284421e+02 2.729090e+02 0 0
92dm08_25 585 12 19 -45 45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/2_noeffect.mov 763 25-May-2018 11:05:47 -3.648049e+02 2.944260e+00 0 1
92dm08_25 585 13 24 -45 -45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/3_noeffect.mov 742 25-May-2018 11:05:50 2.711736e+02 -2.626094e+02 0 0
92dm08_25 585 14 2 45 -45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/1_noeffect.mov 810 25-May-2018 11:05:54 -3.712855e+02 -1.413595e+02 0 0
92dm08_25 585 15 36 -45 -45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/5_noeffect.mov 675 25-May-2018 11:05:57 4.329867e+02 1.844046e+02 0 0
92dm08_25 585 16 25 45 45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/4_noeffect.mov 863 25-May-2018 11:06:15 -4.792294e+02 -2.851672e+02 0 1
92dm08_25 585 17 34 45 -45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/5_noeffect.mov 677 25-May-2018 11:06:18 8.856063e+01 2.677841e+02 0 0
92dm08_25 585 18 71 -45 45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/9_noeffect.mov 859 25-May-2018 11:06:21 2.654357e+02 -1.571892e+02 0 0
92dm08_25 585 19 69 45 45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/9_noeffect.mov 610 25-May-2018 11:06:24 -5.178601e+01 2.464698e+02 0 0
92dm08_25 585 20 38 45 -45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/5_noeffect.mov 862 25-May-2018 11:06:42 3.174826e+02 2.978695e+02 0 1
92dm08_25 585 21 43 -45 45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/6_noeffect.mov 727 25-May-2018 11:06:45 3.036289e+02 -9.599036e+01 0 0
92dm08_25 585 22 42 45 -45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/6_noeffect.mov 610 25-May-2018 11:06:48 3.757366e+02 -3.174614e+02 0 0
