subject_name subjectNumber iTrial unshuffled_trial targetOrientation flankersOrientation response correct onscreen_stim_duration magicShows rt date time_of_day deltaX deltaY surpriseClip isClipTrial
95et10_19 570 1 51 -45 45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/7_noeffect.mov 612 23-May-2018 11:00:38 -3.680902e+01 -4.917094e+02 0 1
95et10_19 570 2 23 -45 45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/3_noeffect.mov 542 23-May-2018 11:00:41 -4.220547e+02 -3.986008e+02 0 0
95et10_19 570 3 14 45 -45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/2_noeffect.mov 710 23-May-2018 11:00:44 4.031979e+02 -2.367773e+02 0 0
95et10_19 570 4 42 45 -45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/6_noeffect.mov 979 23-May-2018 11:01:00 4.662366e+02 -2.931797e+02 0 1
95et10_19 570 5 28 -45 -45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/4_noeffect.mov 644 23-May-2018 11:01:03 -3.807791e+02 -9.548945e+00 0 0
95et10_19 570 6 47 -45 45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/6_noeffect.mov 560 23-May-2018 11:01:05 4.100224e+02 -2.206318e+02 0 0
95et10_19 570 7 48 -45 -45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/6_noeffect.mov 497 23-May-2018 11:01:08 -1.587107e+02 -1.895300e+00 0 0
95et10_19 570 8 79 -45 45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/9_noeffect.mov 1113 23-May-2018 11:01:32 4.502115e+02 3.546040e+02 0 1
95et10_19 570 9 15 -45 45 left 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/2_noeffect.mov 488 23-May-2018 11:01:34 1.167640e+02 1.611057e+02 0 0
95et10_19 570 10 46 45 -45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/6_noeffect.mov 608 23-May-2018 11:01:37 4.479875e+02 1.834627e+02 0 0
95et10_19 570 11 62 45 -45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/8_noeffect.mov 470 23-May-2018 11:01:40 -3.065573e+02 2.153618e+02 0 0
95et10_19 570 12 54 45 -45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/7_noeffect.mov 1195 23-May-2018 11:02:01 1.311198e+02 -3.536052e+02 0 1
95et10_19 570 13 21 45 45 right 1 5.000000e-01 /Users/corrado/Dropbox/experiments/surprise_control_exp/stim/3_noeffect.mov 533 23-May-2018 11:02:04 4.657526e+02 -4.047557e+02 0 0
