subject_name subjectNumber iTrial unshuffled_trial targetOrientation flankersOrientation response correct onscreen_stim_duration magicShows rt date time_of_day deltaX deltaY surpriseClip isClipTrial
fr_bo_25_09_96_695_m 20 1 27 -45 45 right 0 5.000000e-01 C:/Users/Miranda/Desktop/matlab_script/stim/4_noeffect.mov 751 02-Aug-2019 17:54:39 -2.907163e+02 1.089212e+02 0 1
fr_bo_25_09_96_695_m 20 2 13 45 45 right 1 5.000000e-01 C:/Users/Miranda/Desktop/matlab_script/stim/2_noeffect.mov 405 02-Aug-2019 17:54:41 4.848655e+02 -2.342989e+02 0 0
fr_bo_25_09_96_695_m 20 3 40 -45 -45 left 1 5.000000e-01 C:/Users/Miranda/Desktop/matlab_script/stim/5_noeffect.mov 430 02-Aug-2019 17:54:44 -3.513227e+02 1.216277e+02 0 0
fr_bo_25_09_96_695_m 20 4 17 45 45 right 1 5.000000e-01 C:/Users/Miranda/Desktop/matlab_script/stim/2_noeffect.mov 751 02-Aug-2019 17:55:09 2.857875e+02 -4.490619e+02 0 1
fr_bo_25_09_96_695_m 20 5 28 -45 -45 right 0 5.000000e-01 C:/Users/Miranda/Desktop/matlab_script/stim/4_noeffect.mov 398 02-Aug-2019 17:55:13 -1.815447e+02 -1.428680e+02 0 0
fr_bo_25_09_96_695_m 20 6 48 -45 -45 left 1 5.000000e-01 C:/Users/Miranda/Desktop/matlab_script/stim/6_noeffect.mov 412 02-Aug-2019 17:55:15 3.093095e+02 4.841133e+02 0 0
fr_bo_25_09_96_695_m 20 7 59 -45 45 left 1 5.000000e-01 C:/Users/Miranda/Desktop/matlab_script/stim/8_noeffect.mov 361 02-Aug-2019 17:55:18 2.117267e+02 -2.528555e+02 0 0
fr_bo_25_09_96_695_m 20 8 12 -45 -45 left 1 5.000000e-01 C:/Users/Miranda/Desktop/matlab_script/stim/2_noeffect.mov 534 02-Aug-2019 17:55:43 6.901552e+01 3.140389e+02 0 1
fr_bo_25_09_96_695_m 20 9 4 -45 -45 left 1 5.000000e-01 C:/Users/Miranda/Desktop/matlab_script/stim/1_noeffect.mov 321 02-Aug-2019 17:55:46 -2.449711e+02 -8.355972e+01 0 0
fr_bo_25_09_96_695_m 20 10 22 45 -45 right 1 5.000000e-01 C:/Users/Miranda/Desktop/matlab_script/stim/3_noeffect.mov 416 02-Aug-2019 17:55:49 -1.255593e+02 -3.549434e+02 0 0
fr_bo_25_09_96_695_m 20 11 9 45 45 right 1 5.000000e-01 C:/Users/Miranda/Desktop/matlab_script/stim/2_noeffect.mov 364 02-Aug-2019 17:55:52 7.736724e+01 3.167223e+02 0 0
fr_bo_25_09_96_695_m 20 12 19 -45 45 left 1 5.000000e-01 C:/Users/Miranda/Desktop/matlab_script/stim/2_noeffect.mov 551 02-Aug-2019 17:56:17 4.281497e+02 3.926652e+02 0 1
fr_bo_25_09_96_695_m 20 13 1 45 45 right 1 5.000000e-01 C:/Users/Miranda/Desktop/matlab_script/stim/1_noeffect.mov 534 02-Aug-2019 17:56:20 -4.693503e+02 1.281294e+02 0 0
fr_bo_25_09_96_695_m 20 14 16 -45 -45 left 1 5.000000e-01 C:/Users/Miranda/Desktop/matlab_script/stim/2_noeffect.mov 392 02-Aug-2019 17:56:23 -1.045685e+02 4.146752e+02 0 0
fr_bo_25_09_96_695_m 20 15 21 45 45 right 1 5.000000e-01 C:/Users/Miranda/Desktop/matlab_script/stim/3_noeffect.mov 467 02-Aug-2019 17:56:26 -2.426898e+01 4.148430e+01 0 0
fr_bo_25_09_96_695_m 20 16 36 -45 -45 left 1 5.000000e-01 C:/Users/Miranda/Desktop/matlab_script/stim/5_noeffect.mov 685 02-Aug-2019 17:56:43 -4.977070e+02 6.044186e+01 0 1
fr_bo_25_09_96_695_m 20 17 72 -45 -45 right 0 5.000000e-01 C:/Users/Miranda/Desktop/matlab_script/stim/9_noeffect.mov 424 02-Aug-2019 17:56:46 -4.285359e+02 -2.363872e+02 0 0
fr_bo_25_09_96_695_m 20 18 8 -45 -45 left 1 5.000000e-01 C:/Users/Miranda/Desktop/matlab_script/stim/1_noeffect.mov 375 02-Aug-2019 17:56:48 2.257875e+02 -1.384839e+02 0 0
fr_bo_25_09_96_695_m 20 19 14 45 -45 right 1 5.000000e-01 C:/Users/Miranda/Desktop/matlab_script/stim/2_noeffect.mov 416 02-Aug-2019 17:56:51 2.612253e+02 -2.654919e+02 0 0
fr_bo_25_09_96_695_m 20 20 29 45 45 right 1 5.000000e-01 C:/Users/Miranda/Desktop/matlab_script/stim/4_noeffect.mov 885 02-Aug-2019 17:57:09 3.270585e+01 1.706822e+02 0 1
fr_bo_25_09_96_695_m 20 21 71 -45 45 left 1 5.000000e-01 C:/Users/Miranda/Desktop/matlab_script/stim/9_noeffect.mov 476 02-Aug-2019 17:57:12 -3.302995e+02 4.838924e+02 0 0
fr_bo_25_09_96_695_m 20 22 53 45 45 right 1 5.000000e-01 C:/Users/Miranda/Desktop/matlab_script/stim/7_noeffect.mov 391 02-Aug-2019 17:57:15 -4.250051e+02 1.927484e+02 0 0
fr_bo_25_09_96_695_m 20 23 24 -45 -45 left 1 5.000000e-01 C:/Users/Miranda/Desktop/matlab_script/stim/3_noeffect.mov 446 02-Aug-2019 17:57:18 4.688654e+02 2.711599e+02 0 0
