subject_name subjectNumber iTrial unshuffled_trial targetOrientation flankersOrientation response correct onscreen_stim_duration magicShows rt date time_of_day deltaX deltaY surpriseClip isClipTrial
04LM21_F24 4 1 26 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/4_noeffect.mov 612 18-Sep-2017 10:35:59 2.132335e+02 -2.968329e+02 0 1
04LM21_F24 4 2 16 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/2_noeffect.mov 512 18-Sep-2017 10:36:01 2.926187e+02 -4.127759e+01 0 0
04LM21_F24 4 3 65 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/9_noeffect.mov 483 18-Sep-2017 10:36:04 -1.534745e+02 4.741375e+02 0 0
04LM21_F24 4 4 51 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/7_noeffect.mov 696 18-Sep-2017 10:36:25 -2.946092e+02 1.294411e+02 0 1
04LM21_F24 4 5 19 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/2_noeffect.mov 548 18-Sep-2017 10:36:27 -4.936030e+02 1.473802e+01 0 0
04LM21_F24 4 6 8 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/1_noeffect.mov 419 18-Sep-2017 10:36:30 1.469342e+02 6.246768e+01 0 0
04LM21_F24 4 7 22 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/3_noeffect.mov 427 18-Sep-2017 10:36:33 -1.892950e+02 -2.855044e+00 0 0
04LM21_F24 4 8 74 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/9_noeffect.mov 580 18-Sep-2017 10:36:56 4.413719e+02 -4.355450e+02 0 1
04LM21_F24 4 9 49 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/7_noeffect.mov 416 18-Sep-2017 10:36:59 4.169966e+02 -4.966380e+02 0 0
04LM21_F24 4 10 75 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/9_noeffect.mov 498 18-Sep-2017 10:37:01 2.343227e+02 -2.998482e+02 0 0
04LM21_F24 4 11 1 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/1_noeffect.mov 430 18-Sep-2017 10:37:04 3.962677e+02 1.259286e+01 0 0
04LM21_F24 4 12 79 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/9_noeffect.mov 579 18-Sep-2017 10:37:27 -9.502036e+01 4.980969e+02 0 1
04LM21_F24 4 13 57 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/8_noeffect.mov 661 18-Sep-2017 10:37:30 -4.610090e+02 -2.013359e+02 0 0
04LM21_F24 4 14 30 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/4_noeffect.mov 595 18-Sep-2017 10:37:33 -4.761219e+02 -3.719133e+02 0 0
04LM21_F24 4 15 3 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/1_noeffect.mov 512 18-Sep-2017 10:37:36 3.743434e+02 -2.701603e+02 0 0
04LM21_F24 4 16 6 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/1_noeffect.mov 582 18-Sep-2017 10:38:02 -3.700484e+02 4.260855e+02 0 1
04LM21_F24 4 17 15 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/2_noeffect.mov 496 18-Sep-2017 10:38:05 -6.761850e+01 6.269024e+01 0 0
04LM21_F24 4 18 55 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/7_noeffect.mov 530 18-Sep-2017 10:38:08 -1.129042e+02 4.521843e+02 0 0
04LM21_F24 4 19 37 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/5_noeffect.mov 445 18-Sep-2017 10:38:11 -1.708766e+02 4.552730e+01 0 0
04LM21_F24 4 20 68 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/9_noeffect.mov 440 18-Sep-2017 10:38:33 -1.622279e+02 2.385970e+02 0 1
04LM21_F24 4 21 31 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/4_noeffect.mov 429 18-Sep-2017 10:38:36 -2.198101e+02 8.625777e+01 0 0
04LM21_F24 4 22 43 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/6_noeffect.mov 477 18-Sep-2017 10:38:39 -3.151028e+02 9.592542e+01 0 0
04LM21_F24 4 23 50 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/7_noeffect.mov 528 18-Sep-2017 10:38:42 -9.371191e+01 4.226325e+02 0 0
04LM21_F24 4 24 59 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/8_noeffect.mov 614 18-Sep-2017 10:39:04 -3.474894e+02 4.161856e+02 0 1
04LM21_F24 4 25 11 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/2_noeffect.mov 612 18-Sep-2017 10:39:07 3.306710e+02 -2.062916e+02 0 0
04LM21_F24 4 26 76 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/9_noeffect.mov 440 18-Sep-2017 10:39:10 2.029498e+02 1.240989e+02 0 0
04LM21_F24 4 27 78 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/9_noeffect.mov 580 18-Sep-2017 10:39:13 -4.054825e+02 3.180398e+02 0 0
04LM21_F24 4 28 66 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/9_noeffect.mov 663 18-Sep-2017 10:39:35 4.282122e+02 -4.841585e+02 0 1
04LM21_F24 4 29 5 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/1_noeffect.mov 488 18-Sep-2017 10:39:38 -3.899132e+02 4.641237e+02 0 0
04LM21_F24 4 30 70 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/9_noeffect.mov 488 18-Sep-2017 10:39:41 -1.345326e+02 2.978237e+02 0 0
04LM21_F24 4 31 64 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/8_noeffect.mov 562 18-Sep-2017 10:39:44 -4.990038e+02 -3.974335e+02 0 0
04LM21_F24 4 32 23 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/3_noeffect.mov 747 18-Sep-2017 10:40:03 4.737359e+02 3.905010e+02 0 1
04LM21_F24 4 33 61 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/8_noeffect.mov 453 18-Sep-2017 10:40:06 -8.667676e+01 -4.019646e+02 0 0
04LM21_F24 4 34 45 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/6_noeffect.mov 421 18-Sep-2017 10:40:09 -3.748452e+02 4.920332e+02 0 0
04LM21_F24 4 35 54 45 -45 left 0 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/7_noeffect.mov 382 18-Sep-2017 10:40:12 2.101926e+02 2.633602e+02 0 0
04LM21_F24 4 36 7 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/1_noeffect.mov 598 18-Sep-2017 10:40:38 4.158623e+02 -1.257349e+02 0 1
04LM21_F24 4 37 18 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/2_noeffect.mov 544 18-Sep-2017 10:40:41 -4.589709e+02 3.298707e+02 0 0
04LM21_F24 4 38 13 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/2_noeffect.mov 545 18-Sep-2017 10:40:44 -3.834903e+02 7.055762e+01 0 0
04LM21_F24 4 39 40 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/5_noeffect.mov 421 18-Sep-2017 10:40:47 1.894000e+02 -8.216491e+01 0 0
04LM21_F24 4 40 69 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/9_noeffect.mov 577 18-Sep-2017 10:41:09 -2.321164e+02 4.870722e+01 0 1
04LM21_F24 4 41 58 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/8_noeffect.mov 498 18-Sep-2017 10:41:12 -4.548314e+02 2.910600e+02 0 0
04LM21_F24 4 42 32 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/4_noeffect.mov 448 18-Sep-2017 10:41:15 -8.369872e+01 -3.290203e+02 0 0
04LM21_F24 4 43 35 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/5_noeffect.mov 546 18-Sep-2017 10:41:18 -2.027509e+02 2.121699e+01 0 0
04LM21_F24 4 44 14 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/2_noeffect.mov 664 18-Sep-2017 10:41:44 4.147025e+02 3.858589e+02 0 1
04LM21_F24 4 45 36 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/5_noeffect.mov 429 18-Sep-2017 10:41:47 5.292548e+01 -8.917368e+01 0 0
04LM21_F24 4 46 29 45 45 left 0 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/4_noeffect.mov 511 18-Sep-2017 10:41:50 1.282026e+02 -2.715694e+02 0 0
04LM21_F24 4 47 42 45 -45 left 0 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/6_noeffect.mov 613 18-Sep-2017 10:41:53 8.746381e+01 -2.118349e+02 0 0
04LM21_F24 4 48 20 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/2_noeffect.mov 730 18-Sep-2017 10:42:19 1.484641e+02 1.921492e+02 0 1
04LM21_F24 4 49 67 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/9_noeffect.mov 712 18-Sep-2017 10:42:22 1.544719e+02 -4.168563e+02 0 0
04LM21_F24 4 50 10 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/2_noeffect.mov 562 18-Sep-2017 10:42:25 -2.732560e+02 9.195838e+01 0 0
04LM21_F24 4 51 12 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/2_noeffect.mov 997 18-Sep-2017 10:42:28 9.709490e+01 -1.341970e+02 0 0
04LM21_F24 4 52 21 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/3_noeffect.mov 1295 18-Sep-2017 10:42:48 1.104337e+02 -2.674237e+02 0 1
04LM21_F24 4 53 73 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/9_noeffect.mov 512 18-Sep-2017 10:42:51 7.617538e+01 -3.342830e+02 0 0
