subject_name subjectNumber iTrial unshuffled_trial targetOrientation flankersOrientation response correct onscreen_stim_duration magicShows rt date time_of_day deltaX deltaY surpriseClip isClipTrial
11GB17_F23 3 1 76 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/9_noeffect.mov 596 19-Sep-2017 10:12:44 -3.664492e+02 3.235629e+02 0 1
11GB17_F23 3 2 56 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/7_noeffect.mov 530 19-Sep-2017 10:12:47 -2.399902e+02 2.475341e+02 0 0
11GB17_F23 3 3 70 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/9_noeffect.mov 460 19-Sep-2017 10:12:50 1.964194e+02 3.257275e+02 0 0
11GB17_F23 3 4 25 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/4_noeffect.mov 646 19-Sep-2017 10:13:08 4.563389e+02 -2.241111e+02 0 1
11GB17_F23 3 5 47 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/6_noeffect.mov 581 19-Sep-2017 10:13:11 -3.556441e+02 3.593058e+02 0 0
11GB17_F23 3 6 14 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/2_noeffect.mov 578 19-Sep-2017 10:13:14 -2.166809e+02 3.590279e+02 0 0
11GB17_F23 3 7 60 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/8_noeffect.mov 545 19-Sep-2017 10:13:17 1.887447e+02 -2.241345e+02 0 0
11GB17_F23 3 8 28 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/4_noeffect.mov 678 19-Sep-2017 10:13:35 -4.533958e+02 -1.582921e+02 0 1
11GB17_F23 3 9 77 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/9_noeffect.mov 426 19-Sep-2017 10:13:38 3.340937e+02 -3.153094e+02 0 0
11GB17_F23 3 10 57 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/8_noeffect.mov 474 19-Sep-2017 10:13:40 2.032910e+02 -2.129596e+02 0 0
11GB17_F23 3 11 12 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/2_noeffect.mov 496 19-Sep-2017 10:13:43 -1.573302e+01 -3.626363e+02 0 0
11GB17_F23 3 12 9 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/2_noeffect.mov 547 19-Sep-2017 10:14:09 -1.610623e+02 2.925827e+02 0 1
11GB17_F23 3 13 54 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/7_noeffect.mov 613 19-Sep-2017 10:14:12 -3.969424e+02 1.693189e+02 0 0
11GB17_F23 3 14 22 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/3_noeffect.mov 662 19-Sep-2017 10:14:15 -2.437224e+02 -4.005608e+02 0 0
11GB17_F23 3 15 55 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/7_noeffect.mov 562 19-Sep-2017 10:14:18 3.639895e+02 9.331818e+01 0 0
11GB17_F23 3 16 4 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/1_noeffect.mov 563 19-Sep-2017 10:14:45 -2.017682e+01 1.779585e+02 0 1
11GB17_F23 3 17 17 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/2_noeffect.mov 463 19-Sep-2017 10:14:47 9.388687e+01 4.506700e+02 0 0
11GB17_F23 3 18 58 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/8_noeffect.mov 528 19-Sep-2017 10:14:50 -3.006538e+02 1.129571e+02 0 0
11GB17_F23 3 19 23 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/3_noeffect.mov 562 19-Sep-2017 10:14:53 -1.002044e+02 -1.532870e+02 0 0
11GB17_F23 3 20 59 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/8_noeffect.mov 599 19-Sep-2017 10:15:15 -2.181411e+02 -3.776826e+01 0 1
11GB17_F23 3 21 43 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/6_noeffect.mov 562 19-Sep-2017 10:15:18 -2.287386e+02 1.638917e+02 0 0
11GB17_F23 3 22 48 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/6_noeffect.mov 795 19-Sep-2017 10:15:21 3.593921e+02 4.914789e+02 0 0
11GB17_F23 3 23 64 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/8_noeffect.mov 479 19-Sep-2017 10:15:24 -2.493460e+01 8.134322e+01 0 0
11GB17_F23 3 24 6 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/1_noeffect.mov 578 19-Sep-2017 10:15:50 2.780176e+02 1.279107e+02 0 1
11GB17_F23 3 25 66 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/9_noeffect.mov 562 19-Sep-2017 10:15:53 -3.014388e+02 4.236364e+01 0 0
11GB17_F23 3 26 68 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/9_noeffect.mov 528 19-Sep-2017 10:15:56 -3.456820e+01 -3.712878e+02 0 0
11GB17_F23 3 27 13 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/2_noeffect.mov 696 19-Sep-2017 10:15:59 3.521872e+02 -3.527681e+01 0 0
11GB17_F23 3 28 45 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/6_noeffect.mov 647 19-Sep-2017 10:16:15 4.617627e+02 4.039259e+02 0 1
11GB17_F23 3 29 16 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/2_noeffect.mov 560 19-Sep-2017 10:16:18 4.075584e+02 -6.429728e+01 0 0
11GB17_F23 3 30 37 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/5_noeffect.mov 463 19-Sep-2017 10:16:21 -2.306179e+02 2.537755e+02 0 0
11GB17_F23 3 31 30 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/4_noeffect.mov 430 19-Sep-2017 10:16:23 -1.031231e+02 2.139888e+02 0 0
11GB17_F23 3 32 33 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/5_noeffect.mov 710 19-Sep-2017 10:16:41 2.386849e+02 1.643233e+02 0 1
11GB17_F23 3 33 1 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/1_noeffect.mov 449 19-Sep-2017 10:16:44 -2.465068e+01 4.983097e+01 0 0
11GB17_F23 3 34 69 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/9_noeffect.mov 611 19-Sep-2017 10:16:47 3.482963e+02 2.151709e+02 0 0
11GB17_F23 3 35 3 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/1_noeffect.mov 546 19-Sep-2017 10:16:50 4.469204e+02 3.878848e+02 0 0
11GB17_F23 3 36 71 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/9_noeffect.mov 530 19-Sep-2017 10:17:13 1.099826e+02 1.448505e+02 0 1
11GB17_F23 3 37 8 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/1_noeffect.mov 417 19-Sep-2017 10:17:15 3.824287e+02 3.596857e+02 0 0
11GB17_F23 3 38 67 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/9_noeffect.mov 628 19-Sep-2017 10:17:18 -3.125137e+02 1.478158e+02 0 0
11GB17_F23 3 39 49 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/7_noeffect.mov 442 19-Sep-2017 10:17:21 6.465680e+01 2.498167e+02 0 0
11GB17_F23 3 40 72 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/9_noeffect.mov 547 19-Sep-2017 10:17:44 -1.098964e+02 -4.819185e+02 0 1
11GB17_F23 3 41 42 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/6_noeffect.mov 578 19-Sep-2017 10:17:47 -1.698658e+02 3.431997e+02 0 0
11GB17_F23 3 42 38 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/5_noeffect.mov 643 19-Sep-2017 10:17:50 5.960664e+01 -4.473521e+02 0 0
11GB17_F23 3 43 65 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/9_noeffect.mov 578 19-Sep-2017 10:17:53 -2.781595e+02 -1.426785e+02 0 0
11GB17_F23 3 44 32 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/4_noeffect.mov 490 19-Sep-2017 10:18:11 -4.657725e+01 -3.656544e+02 0 1
11GB17_F23 3 45 26 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/4_noeffect.mov 629 19-Sep-2017 10:18:14 3.805863e+02 3.910336e+02 0 0
11GB17_F23 3 46 62 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/8_noeffect.mov 465 19-Sep-2017 10:18:16 -1.469956e+02 4.038019e+02 0 0
11GB17_F23 3 47 29 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/4_noeffect.mov 471 19-Sep-2017 10:18:19 -1.954538e+02 -2.936954e+02 0 0
11GB17_F23 3 48 34 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/5_noeffect.mov 513 19-Sep-2017 10:18:37 6.036455e+01 -8.525056e+01 0 1
11GB17_F23 3 49 73 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/9_noeffect.mov 611 19-Sep-2017 10:18:40 3.979701e+02 1.871624e+01 0 0
11GB17_F23 3 50 11 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/2_noeffect.mov 452 19-Sep-2017 10:18:42 1.704059e+02 5.610481e+01 0 0
11GB17_F23 3 51 21 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/3_noeffect.mov 489 19-Sep-2017 10:18:45 -3.648577e+02 1.152442e+02 0 0
11GB17_F23 3 52 79 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/9_noeffect.mov 546 19-Sep-2017 10:19:08 8.796158e+01 -3.612699e+02 0 1
11GB17_F23 3 53 27 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/4_noeffect.mov 427 19-Sep-2017 10:19:11 1.818565e+02 3.063620e+02 0 0
11GB17_F23 3 54 46 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/6_noeffect.mov 434 19-Sep-2017 10:19:14 2.082711e+02 9.502424e+01 0 0
11GB17_F23 3 55 50 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/7_noeffect.mov 545 19-Sep-2017 10:19:17 4.129047e+02 -9.877049e+00 0 0
11GB17_F23 3 56 52 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/7_noeffect.mov 544 19-Sep-2017 10:19:37 4.517380e+02 -4.382202e+00 0 1
11GB17_F23 3 57 63 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/8_noeffect.mov 661 19-Sep-2017 10:19:40 4.934139e+02 -1.844293e+02 0 0
11GB17_F23 3 58 2 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/1_noeffect.mov 597 19-Sep-2017 10:19:43 -1.775939e+02 -3.120736e+02 0 0
11GB17_F23 3 59 5 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/1_noeffect.mov 612 19-Sep-2017 10:19:46 -4.474636e+02 3.008066e+02 0 0
11GB17_F23 3 60 35 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/5_noeffect.mov 629 19-Sep-2017 10:20:03 -2.838230e+02 -1.055798e+01 0 1
11GB17_F23 3 61 75 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/9_noeffect.mov 795 19-Sep-2017 10:20:06 2.774608e+02 4.392003e+02 0 0
11GB17_F23 3 62 7 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/1_noeffect.mov 492 19-Sep-2017 10:20:09 -3.766459e+01 2.199075e+02 0 0
11GB17_F23 3 63 36 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/5_noeffect.mov 498 19-Sep-2017 10:20:12 4.711390e+02 4.974456e+02 0 0
11GB17_F23 3 64 15 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/2_noeffect.mov 696 19-Sep-2017 10:20:38 8.048842e+01 -4.182064e+02 0 1
11GB17_F23 3 65 24 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/3_noeffect.mov 482 19-Sep-2017 10:20:41 -7.612549e+01 9.961006e+00 0 0
11GB17_F23 3 66 78 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/9_noeffect.mov 630 19-Sep-2017 10:20:44 -4.512189e+02 1.594652e+02 0 0
11GB17_F23 3 67 10 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/2_noeffect.mov 678 19-Sep-2017 10:20:47 3.574965e+02 1.591056e+02 0 0
11GB17_F23 3 68 41 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/6_noeffect.mov 699 19-Sep-2017 10:21:03 2.109856e+02 8.077335e+01 0 1
11GB17_F23 3 69 19 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/2_noeffect.mov 529 19-Sep-2017 10:21:05 -1.376365e+02 -4.557949e+02 0 0
11GB17_F23 3 70 74 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/9_noeffect.mov 612 19-Sep-2017 10:21:08 3.814274e+02 -2.051698e+02 0 0
11GB17_F23 3 71 53 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/7_noeffect.mov 678 19-Sep-2017 10:21:11 1.107685e+02 -1.635909e+02 0 0
11GB17_F23 3 72 18 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/2_noeffect.mov 828 19-Sep-2017 10:21:38 1.980485e+02 7.509885e+01 0 1
11GB17_F23 3 73 39 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/5_noeffect.mov 594 19-Sep-2017 10:21:41 -1.262255e+02 4.297976e+02 0 0
11GB17_F23 3 74 80 -45 -45 right 0 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/9_noeffect.mov 662 19-Sep-2017 10:21:44 -4.605849e+02 1.231857e+02 0 0
