subject_name subjectNumber iTrial unshuffled_trial targetOrientation flankersOrientation response correct onscreen_stim_duration magicShows rt date time_of_day deltaX deltaY surpriseClip isClipTrial
14AG19_F24 3 1 15 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/2_noeffect.mov 632 27-Sep-2017 09:24:35 -1.094833e+02 -2.311029e+02 0 1
14AG19_F24 3 2 20 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/2_noeffect.mov 512 27-Sep-2017 09:24:38 7.132777e+01 -4.074878e+02 0 0
14AG19_F24 3 3 50 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/7_noeffect.mov 532 27-Sep-2017 09:24:41 -2.077583e+02 -1.208943e+02 0 0
14AG19_F24 3 4 60 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/8_noeffect.mov 630 27-Sep-2017 09:25:03 -3.157828e+01 -1.385577e+02 0 1
14AG19_F24 3 5 37 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/5_noeffect.mov 602 27-Sep-2017 09:25:06 -2.864478e+02 6.761916e+01 0 0
14AG19_F24 3 6 31 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/4_noeffect.mov 561 27-Sep-2017 09:25:09 6.290351e+01 2.019041e+02 0 0
14AG19_F24 3 7 35 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/5_noeffect.mov 544 27-Sep-2017 09:25:12 1.659208e+02 3.658017e+02 0 0
14AG19_F24 3 8 47 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/6_noeffect.mov 714 27-Sep-2017 09:25:27 4.234612e+02 2.726570e+02 0 1
14AG19_F24 3 9 65 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/9_noeffect.mov 510 27-Sep-2017 09:25:30 2.110505e+02 1.354016e+02 0 0
14AG19_F24 3 10 30 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/4_noeffect.mov 660 27-Sep-2017 09:25:33 3.818431e+01 2.972966e+02 0 0
