subject_name subjectNumber iTrial unshuffled_trial targetOrientation flankersOrientation response correct onscreen_stim_duration magicShows rt date time_of_day deltaX deltaY surpriseClip isClipTrial
74GM03_F34 4 1 30 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/4_noeffect.mov 864 26-Sep-2017 11:53:31 -3.010257e+01 -2.988169e+02 0 1
74GM03_F34 4 2 69 45 45 left 0 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/9_noeffect.mov 628 26-Sep-2017 11:53:34 -1.503456e+02 -2.805700e+02 0 0
74GM03_F34 4 3 71 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/9_noeffect.mov 647 26-Sep-2017 11:53:37 -3.473203e+02 -4.412917e+02 0 0
74GM03_F34 4 4 26 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/4_noeffect.mov 698 26-Sep-2017 11:53:56 -4.813302e+02 2.557352e+02 0 1
74GM03_F34 4 5 46 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/6_noeffect.mov 768 26-Sep-2017 11:53:59 -3.858070e+02 -2.540910e+02 0 0
74GM03_F34 4 6 79 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/9_noeffect.mov 945 26-Sep-2017 11:54:02 -2.754507e+02 1.117797e+02 0 0
74GM03_F34 4 7 37 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/5_noeffect.mov 744 26-Sep-2017 11:54:05 -3.636505e+02 -2.547643e+02 0 0
74GM03_F34 4 8 42 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/6_noeffect.mov 747 26-Sep-2017 11:54:21 -3.292911e+02 -3.271678e+02 0 1
74GM03_F34 4 9 23 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/3_noeffect.mov 980 26-Sep-2017 11:54:24 -2.441140e+02 4.460839e+02 0 0
74GM03_F34 4 10 65 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/9_noeffect.mov 626 26-Sep-2017 11:54:27 1.024673e+02 -1.171098e+02 0 0
74GM03_F34 4 11 3 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/1_noeffect.mov 744 26-Sep-2017 11:54:30 3.733846e+02 1.923507e+02 0 0
74GM03_F34 4 12 57 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/8_noeffect.mov 729 26-Sep-2017 11:54:52 9.886754e+01 -3.887330e+02 0 1
74GM03_F34 4 13 18 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/2_noeffect.mov 817 26-Sep-2017 11:54:56 3.019816e+02 -3.704960e+02 0 0
74GM03_F34 4 14 47 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/6_noeffect.mov 944 26-Sep-2017 11:54:59 -3.065512e+02 3.103887e+02 0 0
74GM03_F34 4 15 28 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/4_noeffect.mov 694 26-Sep-2017 11:55:02 -8.023422e+01 8.099389e+01 0 0
74GM03_F34 4 16 66 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/9_noeffect.mov 646 26-Sep-2017 11:55:25 -1.592997e+02 -3.055476e+02 0 1
74GM03_F34 4 17 45 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/6_noeffect.mov 845 26-Sep-2017 11:55:28 1.318186e+01 2.005864e+02 0 0
74GM03_F34 4 18 49 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/7_noeffect.mov 894 26-Sep-2017 11:55:31 3.845526e+02 3.660008e+02 0 0
74GM03_F34 4 19 50 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/7_noeffect.mov 743 26-Sep-2017 11:55:34 -4.855094e+01 5.952323e+01 0 0
74GM03_F34 4 20 17 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/2_noeffect.mov 763 26-Sep-2017 11:56:01 -8.229372e+01 4.033647e+02 0 1
74GM03_F34 4 21 41 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/6_noeffect.mov 660 26-Sep-2017 11:56:04 -4.280881e+02 -1.310142e+02 0 0
74GM03_F34 4 22 38 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/5_noeffect.mov 817 26-Sep-2017 11:56:07 -1.639381e+02 3.198180e+02 0 0
74GM03_F34 4 23 78 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/9_noeffect.mov 693 26-Sep-2017 11:56:10 2.063261e+02 -4.713367e+02 0 0
74GM03_F34 4 24 63 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/8_noeffect.mov 1079 26-Sep-2017 11:56:33 -1.984179e+02 -1.820108e+02 0 1
74GM03_F34 4 25 53 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/7_noeffect.mov 711 26-Sep-2017 11:56:36 3.008818e+02 -1.551100e+02 0 0
74GM03_F34 4 26 14 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/2_noeffect.mov 568 26-Sep-2017 11:56:39 -2.710838e+02 -4.507253e+02 0 0
74GM03_F34 4 27 59 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/8_noeffect.mov 592 26-Sep-2017 11:56:41 1.646470e+02 -3.430723e+02 0 0
74GM03_F34 4 28 1 45 45 left 0 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/1_noeffect.mov 549 26-Sep-2017 11:57:08 -1.252050e+02 -2.250597e+02 0 1
74GM03_F34 4 29 19 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/2_noeffect.mov 635 26-Sep-2017 11:57:11 1.588574e+02 2.351022e+02 0 0
74GM03_F34 4 30 72 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/9_noeffect.mov 660 26-Sep-2017 11:57:14 -2.712121e+02 3.852004e+02 0 0
74GM03_F34 4 31 6 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/1_noeffect.mov 709 26-Sep-2017 11:57:17 9.674011e+01 2.572219e+02 0 0
74GM03_F34 4 32 9 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/2_noeffect.mov 832 26-Sep-2017 11:57:43 -2.824694e+02 3.869706e+02 0 1
