subject_name subjectNumber iTrial unshuffled_trial targetOrientation flankersOrientation response correct onscreen_stim_duration magicShows rt date time_of_day deltaX deltaY surpriseClip isClipTrial
78MM03_M26 2 1 43 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/6_noeffect.mov 696 22-Sep-2017 11:34:12 -3.571065e+02 2.652462e+00 0 1
78MM03_M26 2 2 9 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/2_noeffect.mov 645 22-Sep-2017 11:34:15 3.616570e+02 -4.990846e+02 0 0
78MM03_M26 2 3 21 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/3_noeffect.mov 560 22-Sep-2017 11:34:18 4.788147e+02 2.461536e+02 0 0
78MM03_M26 2 4 51 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/7_noeffect.mov 579 22-Sep-2017 11:34:38 4.804028e+02 1.378530e+02 0 1
78MM03_M26 2 5 60 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/8_noeffect.mov 459 22-Sep-2017 11:34:41 2.730698e+02 2.624570e+02 0 0
78MM03_M26 2 6 34 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/5_noeffect.mov 489 22-Sep-2017 11:34:44 -1.860432e+02 -8.426301e+01 0 0
78MM03_M26 2 7 55 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/7_noeffect.mov 660 22-Sep-2017 11:34:47 1.056417e+02 3.224836e+02 0 0
78MM03_M26 2 8 45 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/6_noeffect.mov 730 22-Sep-2017 11:35:03 -1.317571e+02 2.327921e+02 0 1
78MM03_M26 2 9 54 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/7_noeffect.mov 627 22-Sep-2017 11:35:06 4.841544e+02 -6.270265e+01 0 0
78MM03_M26 2 10 58 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/8_noeffect.mov 560 22-Sep-2017 11:35:09 1.061903e+02 4.435497e+02 0 0
78MM03_M26 2 11 8 -45 -45 right 0 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/1_noeffect.mov 577 22-Sep-2017 11:35:11 2.791332e+02 3.687426e+02 0 0
