subject_name subjectNumber iTrial unshuffled_trial targetOrientation flankersOrientation response correct onscreen_stim_duration magicShows rt date time_of_day deltaX deltaY surpriseClip isClipTrial
93AR02_F24 3 1 1 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/1_noeffect.mov 550 27-Sep-2017 11:25:40 -1.373252e+02 1.567622e+02 0 1
93AR02_F24 3 2 52 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/7_noeffect.mov 613 27-Sep-2017 11:25:43 -1.803112e+02 -2.972298e+02 0 0
93AR02_F24 3 3 26 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/4_noeffect.mov 499 27-Sep-2017 11:25:46 -3.120263e+02 7.800611e+01 0 0
93AR02_F24 3 4 15 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/2_noeffect.mov 596 27-Sep-2017 11:26:12 3.631182e+02 1.980010e+02 0 1
93AR02_F24 3 5 55 -45 45 right 0 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/7_noeffect.mov 535 27-Sep-2017 11:26:15 -2.412444e+02 -3.058461e+02 0 0
93AR02_F24 3 6 54 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/7_noeffect.mov 628 27-Sep-2017 11:26:18 2.072659e+02 4.079864e+02 0 0
93AR02_F24 3 7 66 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/9_noeffect.mov 678 27-Sep-2017 11:26:21 -1.795211e+02 -3.356204e+02 0 0
93AR02_F24 3 8 12 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/2_noeffect.mov 696 27-Sep-2017 11:26:47 2.708497e+02 4.218899e+02 0 1
93AR02_F24 3 9 32 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/4_noeffect.mov 425 27-Sep-2017 11:26:50 -2.332481e+02 3.752186e+02 0 0
93AR02_F24 3 10 38 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic_control_exp/stim/5_noeffect.mov 544 27-Sep-2017 11:26:53 3.145695e+02 2.194265e+02 0 0
