subject_name subjectNumber iTrial unshuffled_trial targetOrientation flankersOrientation response correct onscreen_stim_duration magicShows rt date time_of_day deltaX deltaY surpriseClip isClipTrial
16AP04_F19 1 1 67 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/9_effect.mov 729 04-May-2017 14:02:18 7.045767e+01 2.564832e+02 1 1
16AP04_F19 1 2 50 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/7_effect.mov 728 04-May-2017 14:02:21 2.115954e+02 3.994950e+02 1 0
16AP04_F19 1 3 25 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/4_effect.mov 545 04-May-2017 14:02:24 -1.751537e+02 -1.125069e+02 1 0
16AP04_F19 1 4 3 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/1_effect.mov 728 04-May-2017 14:02:49 1.169411e+02 -2.820762e+02 1 1
16AP04_F19 1 5 49 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/7_effect.mov 438 04-May-2017 14:02:52 4.095325e+02 4.866467e+01 1 0
16AP04_F19 1 6 72 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/9_noeffect.mov 844 04-May-2017 14:02:55 4.406072e+02 2.142386e+02 0 0
16AP04_F19 1 7 21 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/3_noeffect.mov 544 04-May-2017 14:02:58 -8.060318e+01 3.952723e+02 0 0
16AP04_F19 1 8 59 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/8_effect.mov 878 04-May-2017 14:03:19 -3.063006e+02 -2.951483e+02 1 1
16AP04_F19 1 9 12 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/2_effect.mov 507 04-May-2017 14:03:22 -1.446436e+02 -3.676047e+02 1 0
16AP04_F19 1 10 53 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/7_noeffect.mov 487 04-May-2017 14:03:25 -1.562553e+02 -2.859986e+02 0 0
16AP04_F19 1 11 22 45 -45 left 0 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/3_noeffect.mov 464 04-May-2017 14:03:28 -2.695705e+02 -2.215820e+02 0 0
16AP04_F19 1 12 20 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/3_effect.mov 962 04-May-2017 14:03:47 2.908479e+02 1.122803e+01 1 1
16AP04_F19 1 13 70 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/9_noeffect.mov 678 04-May-2017 14:03:50 2.486311e+02 -4.366943e+02 0 0
16AP04_F19 1 14 71 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/9_noeffect.mov 911 04-May-2017 14:03:53 -1.400539e+02 -1.424047e+02 0 0
16AP04_F19 1 15 31 -45 45 right 0 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/4_noeffect.mov 777 04-May-2017 14:03:56 -1.289591e+02 -1.562744e+02 0 0
16AP04_F19 1 16 56 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/7_noeffect.mov 696 04-May-2017 14:04:15 2.347998e+02 4.768894e+02 0 1
16AP04_F19 1 17 28 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/4_effect.mov 571 04-May-2017 14:04:18 4.401803e+02 4.580532e+01 1 0
16AP04_F19 1 18 57 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/8_effect.mov 678 04-May-2017 14:04:21 3.220775e+02 -1.220800e+02 1 0
16AP04_F19 1 19 48 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/6_noeffect.mov 579 04-May-2017 14:04:24 -3.842667e+02 -1.450076e+02 0 0
16AP04_F19 1 20 62 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/8_noeffect.mov 810 04-May-2017 14:04:45 3.894182e+02 -4.669466e+02 0 1
16AP04_F19 1 21 4 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/1_effect.mov 679 04-May-2017 14:04:48 1.264724e+02 -2.925571e+02 1 0
16AP04_F19 1 22 52 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/7_effect.mov 485 04-May-2017 14:04:51 -1.956174e+02 -1.443002e+02 1 0
