subject_name subjectNumber iTrial unshuffled_trial targetOrientation flankersOrientation response correct onscreen_stim_duration magicShows rt date time_of_day deltaX deltaY surpriseClip isClipTrial
72gg03_f25 22 1 22 45 -45 right 1 5.000000e-01 /Users/lab/Documents/surprise_project/surprise/stim/3_noeffect.mov 650 06-Mar-2018 13:47:31 6.736484e+01 -4.533324e+02 0 1
72gg03_f25 22 2 64 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/surprise_project/surprise/stim/8_noeffect.mov 500 06-Mar-2018 13:47:33 3.031806e+02 -2.866979e+02 0 0
72gg03_f25 22 3 70 45 -45 right 1 5.000000e-01 /Users/lab/Documents/surprise_project/surprise/stim/9_noeffect.mov 564 06-Mar-2018 13:47:36 3.773639e+02 -4.872351e+02 0 0
72gg03_f25 22 4 36 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/surprise_project/surprise/stim/5_effect.mov 497 06-Mar-2018 13:47:53 2.029858e+02 1.470249e+02 1 1
72gg03_f25 22 5 26 45 -45 right 1 5.000000e-01 /Users/lab/Documents/surprise_project/surprise/stim/4_effect.mov 568 06-Mar-2018 13:47:56 5.648302e+01 4.364457e+02 1 0
72gg03_f25 22 6 50 45 -45 right 1 5.000000e-01 /Users/lab/Documents/surprise_project/surprise/stim/7_effect.mov 550 06-Mar-2018 13:47:59 -9.817838e+01 -4.437470e+02 1 0
72gg03_f25 22 7 17 45 45 right 1 5.000000e-01 /Users/lab/Documents/surprise_project/surprise/stim/3_effect.mov 701 06-Mar-2018 13:48:02 4.019894e+02 3.117591e+02 1 0
72gg03_f25 22 8 55 -45 45 left 1 5.000000e-01 /Users/lab/Documents/surprise_project/surprise/stim/7_noeffect.mov 580 06-Mar-2018 13:48:21 4.449205e+02 6.554588e+01 0 1
72gg03_f25 22 9 44 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/surprise_project/surprise/stim/6_effect.mov 493 06-Mar-2018 13:48:24 -3.011983e+02 -4.638111e+02 1 0
72gg03_f25 22 10 30 45 -45 right 1 5.000000e-01 /Users/lab/Documents/surprise_project/surprise/stim/4_noeffect.mov 534 06-Mar-2018 13:48:27 4.666540e+02 4.823285e+02 0 0
72gg03_f25 22 11 71 -45 45 left 1 5.000000e-01 /Users/lab/Documents/surprise_project/surprise/stim/9_noeffect.mov 550 06-Mar-2018 13:48:29 4.041182e+02 -4.440958e+02 0 0
72gg03_f25 22 12 68 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/surprise_project/surprise/stim/9_effect.mov 565 06-Mar-2018 13:48:51 -3.989398e+02 -4.169905e+02 1 1
72gg03_f25 22 13 48 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/surprise_project/surprise/stim/6_noeffect.mov 440 06-Mar-2018 13:48:54 8.158556e+01 3.740473e+02 0 0
72gg03_f25 22 14 20 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/surprise_project/surprise/stim/3_effect.mov 445 06-Mar-2018 13:48:57 1.500672e+02 -4.081633e+02 1 0
72gg03_f25 22 15 11 -45 45 left 1 5.000000e-01 /Users/lab/Documents/surprise_project/surprise/stim/2_effect.mov 487 06-Mar-2018 13:49:00 -2.831241e+02 -1.118514e+02 1 0
72gg03_f25 22 16 40 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/surprise_project/surprise/stim/5_noeffect.mov 595 06-Mar-2018 13:49:16 1.001132e+02 -3.326213e+02 0 1
72gg03_f25 22 17 1 45 45 right 1 5.000000e-01 /Users/lab/Documents/surprise_project/surprise/stim/1_effect.mov 601 06-Mar-2018 13:49:19 3.331517e+02 -4.461539e+02 1 0
72gg03_f25 22 18 32 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/surprise_project/surprise/stim/4_noeffect.mov 444 06-Mar-2018 13:49:22 -3.401257e+01 -1.471163e+02 0 0
72gg03_f25 22 19 15 -45 45 left 1 5.000000e-01 /Users/lab/Documents/surprise_project/surprise/stim/2_noeffect.mov 585 06-Mar-2018 13:49:25 1.758657e+02 -2.482701e+02 0 0
72gg03_f25 22 20 3 -45 45 left 1 5.000000e-01 /Users/lab/Documents/surprise_project/surprise/stim/1_effect.mov 549 06-Mar-2018 13:49:50 3.065215e+02 -2.298031e+02 1 1
72gg03_f25 22 21 33 45 45 right 1 5.000000e-01 /Users/lab/Documents/surprise_project/surprise/stim/5_effect.mov 436 06-Mar-2018 13:49:52 -9.877639e+01 -2.257403e+02 1 0
