subject_name subjectNumber iTrial unshuffled_trial targetOrientation flankersOrientation response correct onscreen_stim_duration magicShows rt date time_of_day deltaX deltaY surpriseClip isClipTrial
28GM25_F19 3 1 49 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/7_effect.mov 677 05-May-2017 17:05:10 4.728579e+02 3.917551e+02 1 1
28GM25_F19 3 2 80 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/10_noeffect.mov 609 05-May-2017 17:05:13 2.559478e+02 1.850258e+02 0 0
28GM25_F19 3 3 26 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/4_effect.mov 707 05-May-2017 17:05:16 2.634343e+02 -2.852950e+02 1 0
28GM25_F19 3 4 74 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/10_effect.mov 796 05-May-2017 17:05:31 -2.904248e+02 -1.142365e+02 1 1
28GM25_F19 3 5 18 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/3_effect.mov 539 05-May-2017 17:05:33 -4.352868e+02 -4.694448e+02 1 0
28GM25_F19 3 6 5 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/1_noeffect.mov 383 05-May-2017 17:05:36 -2.286128e+02 -3.700703e+02 1 0
28GM25_F19 3 7 42 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/6_effect.mov 528 05-May-2017 17:05:39 3.919492e+02 2.075756e+02 1 0
28GM25_F19 3 8 28 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/4_effect.mov 777 05-May-2017 17:05:56 -3.413361e+02 -1.735401e+02 1 1
28GM25_F19 3 9 48 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/6_noeffect.mov 745 05-May-2017 17:05:59 -3.809666e+02 1.574591e+02 0 0
28GM25_F19 3 10 11 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/2_effect.mov 711 05-May-2017 17:06:02 4.644317e+02 2.923856e+02 1 0
28GM25_F19 3 11 25 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/4_effect.mov 562 05-May-2017 17:06:05 -4.910479e+02 3.652543e+02 1 0
28GM25_F19 3 12 43 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/6_effect.mov 677 05-May-2017 17:06:20 2.108699e+02 3.935007e+02 1 1
28GM25_F19 3 13 29 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/4_noeffect.mov 510 05-May-2017 17:06:23 -5.394854e+01 1.022031e+02 0 0
28GM25_F19 3 14 71 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/9_noeffect.mov 512 05-May-2017 17:06:26 -2.725890e+02 1.865895e+02 0 0
28GM25_F19 3 15 61 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/8_noeffect.mov 877 05-May-2017 17:06:29 -2.642217e+02 -3.933800e+02 0 0
28GM25_F19 3 16 16 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/2_noeffect.mov 693 05-May-2017 17:06:53 1.746468e+02 4.287902e+02 0 1
28GM25_F19 3 17 15 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/2_noeffect.mov 523 05-May-2017 17:06:56 4.892554e+02 -2.372287e+02 0 0
28GM25_F19 3 18 46 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/6_noeffect.mov 561 05-May-2017 17:06:59 -6.876940e+01 6.712463e+01 0 0
