subject_name subjectNumber iTrial unshuffled_trial targetOrientation flankersOrientation response correct onscreen_stim_duration magicShows rt date time_of_day deltaX deltaY surpriseClip isClipTrial
66MN1_M20 4 1 10 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/2_effect.mov 624 04-May-2017 18:06:30 -2.304748e+02 -2.165003e+02 1 1
66MN1_M20 4 2 42 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/6_effect.mov 609 04-May-2017 18:06:33 -4.083703e+02 4.217093e+02 1 0
66MN1_M20 4 3 4 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/1_effect.mov 433 04-May-2017 18:06:35 -2.013839e+02 -4.543079e+02 1 0
66MN1_M20 4 4 7 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/1_noeffect.mov 611 04-May-2017 18:07:00 3.679542e+02 -4.537242e+02 1 1
66MN1_M20 4 5 80 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/10_noeffect.mov 562 04-May-2017 18:07:03 4.381944e+02 -9.178958e+00 0 0
66MN1_M20 4 6 78 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/10_noeffect.mov 528 04-May-2017 18:07:06 6.392416e+01 -3.516885e+02 0 0
66MN1_M20 4 7 26 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/4_effect.mov 637 04-May-2017 18:07:09 1.826568e+02 -4.390926e+02 1 0
66MN1_M20 4 8 49 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/7_effect.mov 761 04-May-2017 18:07:28 9.404844e+01 1.478991e+02 1 1
66MN1_M20 4 9 47 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/6_noeffect.mov 528 04-May-2017 18:07:31 -2.963669e+02 -8.997767e+01 0 0
66MN1_M20 4 10 6 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/1_noeffect.mov 509 04-May-2017 18:07:34 -1.158154e+02 6.095015e+00 1 0
66MN1_M20 4 11 53 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/7_noeffect.mov 437 04-May-2017 18:07:37 7.288741e+01 3.270677e+02 0 0
66MN1_M20 4 12 29 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/4_noeffect.mov 628 04-May-2017 18:07:54 -2.875332e+02 2.951933e+02 0 1
