subject_name subjectNumber iTrial unshuffled_trial targetOrientation flankersOrientation response correct onscreen_stim_duration magicShows rt date time_of_day deltaX deltaY surpriseClip isClipTrial
95LS24_M22 2 1 66 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/9_effect.mov 676 05-May-2017 17:52:04 -3.959731e+02 -3.403160e+02 1 1
95LS24_M22 2 2 39 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/5_noeffect.mov 609 05-May-2017 17:52:07 -5.778308e+01 -3.074156e+02 0 0
95LS24_M22 2 3 11 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/2_effect.mov 544 05-May-2017 17:52:10 -4.077200e+02 2.219980e+02 1 0
95LS24_M22 2 4 54 45 -45 left 0 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/7_noeffect.mov 612 05-May-2017 17:52:29 -1.964648e+02 4.955543e+02 0 1
95LS24_M22 2 5 16 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/2_noeffect.mov 644 05-May-2017 17:52:32 3.172576e+02 -1.078647e+01 0 0
95LS24_M22 2 6 69 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/9_noeffect.mov 573 05-May-2017 17:52:35 4.081594e+02 -1.318182e+02 0 0
95LS24_M22 2 7 70 45 -45 left 0 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/9_noeffect.mov 396 05-May-2017 17:52:37 -4.637191e+02 -4.490580e+02 0 0
95LS24_M22 2 8 71 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/9_noeffect.mov 645 05-May-2017 17:52:59 4.225797e+02 -2.619841e+02 0 1
95LS24_M22 2 9 41 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/6_effect.mov 462 05-May-2017 17:53:02 2.239440e+02 2.120311e+02 1 0
95LS24_M22 2 10 17 45 45 left 0 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/3_effect.mov 392 05-May-2017 17:53:04 -4.694975e+01 -3.828598e+02 1 0
95LS24_M22 2 11 63 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/8_noeffect.mov 458 05-May-2017 17:53:07 -2.327673e+00 3.070817e+02 0 0
95LS24_M22 2 12 77 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/10_noeffect.mov 593 05-May-2017 17:53:21 -4.598108e+02 -2.746441e+02 0 1
95LS24_M22 2 13 2 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/1_effect.mov 493 05-May-2017 17:53:24 1.389866e+02 3.281416e+01 1 0
95LS24_M22 2 14 74 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/10_effect.mov 527 05-May-2017 17:53:27 4.201590e+01 -4.182111e+02 1 0
95LS24_M22 2 15 67 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/9_effect.mov 510 05-May-2017 17:53:29 3.407002e+02 -4.441409e+02 1 0
95LS24_M22 2 16 61 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/8_noeffect.mov 611 05-May-2017 17:53:50 -2.738769e+02 -4.929931e+02 0 1
95LS24_M22 2 17 80 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/10_noeffect.mov 612 05-May-2017 17:53:53 2.316753e+01 -1.158484e-02 0 0
95LS24_M22 2 18 23 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/3_noeffect.mov 561 05-May-2017 17:53:56 -2.483579e+02 2.671895e+02 0 0
95LS24_M22 2 19 47 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/6_noeffect.mov 457 05-May-2017 17:53:59 -2.608698e+02 4.942822e+01 0 0
95LS24_M22 2 20 18 45 -45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/3_effect.mov 661 05-May-2017 17:54:17 -1.891324e+02 -4.824267e+02 1 1
95LS24_M22 2 21 8 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/1_noeffect.mov 528 05-May-2017 17:54:20 4.494607e+02 -3.558668e+02 1 0
95LS24_M22 2 22 53 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/7_noeffect.mov 472 05-May-2017 17:54:23 -4.711148e+02 -4.701298e+02 0 0
95LS24_M22 2 23 9 45 45 right 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/2_effect.mov 371 05-May-2017 17:54:25 -1.191490e+02 1.909940e+02 1 0
95LS24_M22 2 24 36 -45 -45 right 0 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/5_effect.mov 527 05-May-2017 17:54:42 -1.764600e+02 -3.012632e+02 1 1
95LS24_M22 2 25 28 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/4_effect.mov 494 05-May-2017 17:54:45 1.485515e+01 3.194410e+01 1 0
95LS24_M22 2 26 43 -45 45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/6_effect.mov 611 05-May-2017 17:54:48 -3.939764e+02 7.323733e+01 1 0
95LS24_M22 2 27 48 -45 -45 left 1 5.000000e-01 /Users/lab/Documents/magic3Definitivo/stim/6_noeffect.mov 578 05-May-2017 17:54:50 -3.873404e+02 -9.298951e+01 0 0
